Commodity,country,total_value,rank
CORK AND ARTICLES OF CORK.,U S A,0.9,1
CORK AND ARTICLES OF CORK.,U ARAB EMTS,0.42,2
CORK AND ARTICLES OF CORK.,OMAN,0.38,3
CORK AND ARTICLES OF CORK.,BANGLADESH PR,0.32,4
CORK AND ARTICLES OF CORK.,KUWAIT,0.22,5
CORK AND ARTICLES OF CORK.,SAUDI ARAB,0.14,6
CORK AND ARTICLES OF CORK.,NIGERIA,0.14,6
CORK AND ARTICLES OF CORK.,ITALY,0.14,6
CORK AND ARTICLES OF CORK.,SOUTH AFRICA,0.12,9
CORK AND ARTICLES OF CORK.,THAILAND,0.09,10
CORK AND ARTICLES OF CORK.,U K,0.09,10
CORK AND ARTICLES OF CORK.,AUSTRALIA,0.08,12
CORK AND ARTICLES OF CORK.,LEBANON,0.08,12
CORK AND ARTICLES OF CORK.,IRAN,0.07,14
CORK AND ARTICLES OF CORK.,PAKISTAN IR,0.07,14
CORK AND ARTICLES OF CORK.,CHINA P RP,0.06,16
CORK AND ARTICLES OF CORK.,BAHARAIN IS,0.04,17
CORK AND ARTICLES OF CORK.,EGYPT A RP,0.04,17
CORK AND ARTICLES OF CORK.,QATAR,0.03,19
CORK AND ARTICLES OF CORK.,MALAYSIA,0.03,19
CORK AND ARTICLES OF CORK.,INDONESIA,0.03,19
CORK AND ARTICLES OF CORK.,TURKEY,0.02,22
CORK AND ARTICLES OF CORK.,DENMARK,0.02,22
CORK AND ARTICLES OF CORK.,SINGAPORE,0.02,22
CORK AND ARTICLES OF CORK.,NETHERLAND,0.02,22
CORK AND ARTICLES OF CORK.,NEPAL,0.02,22
CORK AND ARTICLES OF CORK.,ARGENTINA,0.02,22
CORK AND ARTICLES OF CORK.,PHILIPPINES,0.01,28
CORK AND ARTICLES OF CORK.,BRAZIL,0.01,28
CORK AND ARTICLES OF CORK.,SERBIA,0.01,28
CORK AND ARTICLES OF CORK.,UKRAINE,0.01,28
CORK AND ARTICLES OF CORK.,GERMANY,0.01,28
CORK AND ARTICLES OF CORK.,KOREA RP,0.01,28
CORK AND ARTICLES OF CORK.,MYANMAR,0.01,28
CORK AND ARTICLES OF CORK.,KENYA,0.01,28
CORK AND ARTICLES OF CORK.,CANADA,0.01,28
CORK AND ARTICLES OF CORK.,SRI LANKA DSR,0.01,28
CORK AND ARTICLES OF CORK.,VIETNAM SOC REP,0.0,38
CORK AND ARTICLES OF CORK.,MALDIVES,0.0,38
CORK AND ARTICLES OF CORK.,TOGO,0.0,38
CORK AND ARTICLES OF CORK.,COLOMBIA,0.0,38
CORK AND ARTICLES OF CORK.,SLOVAK REP,0.0,38
