Commodity,country,total_value,rank
PHARMACEUTICAL PRODUCTS,U S A,5389.73,1
PHARMACEUTICAL PRODUCTS,U K,533.07,2
PHARMACEUTICAL PRODUCTS,SOUTH AFRICA,531.21,3
PHARMACEUTICAL PRODUCTS,RUSSIA,410.21,4
PHARMACEUTICAL PRODUCTS,NIGERIA,391.51,5
PHARMACEUTICAL PRODUCTS,BRAZIL,269.55,6
PHARMACEUTICAL PRODUCTS,CANADA,263.73,7
PHARMACEUTICAL PRODUCTS,AUSTRALIA,248.11,8
PHARMACEUTICAL PRODUCTS,GERMANY,229.0,9
PHARMACEUTICAL PRODUCTS,KENYA,223.56,10
PHARMACEUTICAL PRODUCTS,PHILIPPINES,220.98,11
PHARMACEUTICAL PRODUCTS,NEPAL,200.19,12
PHARMACEUTICAL PRODUCTS,MYANMAR,199.67,13
PHARMACEUTICAL PRODUCTS,SRI LANKA DSR,197.16,14
PHARMACEUTICAL PRODUCTS,U ARAB EMTS,193.4,15
PHARMACEUTICAL PRODUCTS,FRANCE,186.48,16
PHARMACEUTICAL PRODUCTS,BELGIUM,174.92,17
PHARMACEUTICAL PRODUCTS,UGANDA,160.06,18
PHARMACEUTICAL PRODUCTS,TANZANIA REP,151.35,19
PHARMACEUTICAL PRODUCTS,VIETNAM SOC REP,135.31,20
PHARMACEUTICAL PRODUCTS,ETHIOPIA,129.72,21
PHARMACEUTICAL PRODUCTS,THAILAND,125.44,22
PHARMACEUTICAL PRODUCTS,NETHERLAND,123.38,23
PHARMACEUTICAL PRODUCTS,MALTA,113.15,24
PHARMACEUTICAL PRODUCTS,ZAMBIA,110.42,25
PHARMACEUTICAL PRODUCTS,MOZAMBIQUE,108.05,26
PHARMACEUTICAL PRODUCTS,IRAQ,104.56,27
PHARMACEUTICAL PRODUCTS,UKRAINE,102.57,28
PHARMACEUTICAL PRODUCTS,ZIMBABWE,101.34,29
PHARMACEUTICAL PRODUCTS,MALAWI,98.26,30
PHARMACEUTICAL PRODUCTS,GHANA,96.72,31
PHARMACEUTICAL PRODUCTS,CHILE,91.43,32
PHARMACEUTICAL PRODUCTS,CONGO D. REP.,85.18,33
PHARMACEUTICAL PRODUCTS,AFGHANISTAN TIS,80.27,34
PHARMACEUTICAL PRODUCTS,SINGAPORE,72.61,35
PHARMACEUTICAL PRODUCTS,ALGERIA,72.45,36
PHARMACEUTICAL PRODUCTS,SPAIN,71.24,37
PHARMACEUTICAL PRODUCTS,YEMEN REPUBLC,70.14,38
PHARMACEUTICAL PRODUCTS,PERU,69.42,39
PHARMACEUTICAL PRODUCTS,SLOVENIA,66.03,40
PHARMACEUTICAL PRODUCTS,HUNGARY,64.33,41
PHARMACEUTICAL PRODUCTS,UZBEKISTAN,64.22,42
PHARMACEUTICAL PRODUCTS,IRAN,63.02,43
PHARMACEUTICAL PRODUCTS,COLOMBIA,62.28,44
PHARMACEUTICAL PRODUCTS,VENEZUELA,62.13,45
PHARMACEUTICAL PRODUCTS,INDONESIA,59.76,46
PHARMACEUTICAL PRODUCTS,PAKISTAN IR,59.57,47
PHARMACEUTICAL PRODUCTS,MALAYSIA,58.69,48
PHARMACEUTICAL PRODUCTS,JAPAN,58.22,49
PHARMACEUTICAL PRODUCTS,SAUDI ARAB,51.23,50
PHARMACEUTICAL PRODUCTS,ANGOLA,51.14,51
PHARMACEUTICAL PRODUCTS,GUINEA,49.54,52
PHARMACEUTICAL PRODUCTS,SUDAN,48.97,53
PHARMACEUTICAL PRODUCTS,MEXICO,48.85,54
PHARMACEUTICAL PRODUCTS,KAZAKHSTAN,48.29,55
PHARMACEUTICAL PRODUCTS,POLAND,46.42,56
PHARMACEUTICAL PRODUCTS,CAMBODIA,45.37,57
PHARMACEUTICAL PRODUCTS,CHINA P RP,44.8,58
PHARMACEUTICAL PRODUCTS,COTE D' IVOIRE,44.6,59
PHARMACEUTICAL PRODUCTS,CZECH REPUBLIC,44.57,60
PHARMACEUTICAL PRODUCTS,ITALY,43.64,61
PHARMACEUTICAL PRODUCTS,GUATEMALA,42.96,62
PHARMACEUTICAL PRODUCTS,BANGLADESH PR,42.92,63
PHARMACEUTICAL PRODUCTS,TURKEY,41.95,64
PHARMACEUTICAL PRODUCTS,BURKINA FASO,39.83,65
PHARMACEUTICAL PRODUCTS,CAMEROON,36.56,66
PHARMACEUTICAL PRODUCTS,EGYPT A RP,35.22,67
PHARMACEUTICAL PRODUCTS,DOMINIC REP,35.01,68
PHARMACEUTICAL PRODUCTS,NEW ZEALAND,34.69,69
PHARMACEUTICAL PRODUCTS,DENMARK,32.14,70
PHARMACEUTICAL PRODUCTS,MAURITIUS,31.09,71
PHARMACEUTICAL PRODUCTS,MOROCCO,30.31,72
PHARMACEUTICAL PRODUCTS,ECUADOR,28.7,73
PHARMACEUTICAL PRODUCTS,BOTSWANA,27.28,74
PHARMACEUTICAL PRODUCTS,BENIN,25.35,75
PHARMACEUTICAL PRODUCTS,HONG KONG,24.09,76
PHARMACEUTICAL PRODUCTS,IRELAND,24.01,77
PHARMACEUTICAL PRODUCTS,RWANDA,23.3,78
PHARMACEUTICAL PRODUCTS,HONDURAS,23.16,79
