Commodity,country,total_value,rank
SILK,U S A,21.22,1
SILK,CHINA P RP,14.32,2
SILK,U K,8.11,3
SILK,ITALY,5.33,4
SILK,U ARAB EMTS,4.72,5
SILK,GERMANY,3.41,6
SILK,VIETNAM SOC REP,3.03,7
SILK,SINGAPORE,2.55,8
SILK,FRANCE,2.23,9
SILK,CANADA,2.11,10
SILK,SRI LANKA DSR,1.6,11
SILK,MALAYSIA,1.38,12
SILK,THAILAND,1.29,13
SILK,BELGIUM,1.23,14
SILK,JAPAN,1.15,15
SILK,NEPAL,0.99,16
SILK,NETHERLAND,0.94,17
SILK,QATAR,0.7,18
SILK,OMAN,0.62,19
SILK,HONG KONG,0.59,20
SILK,AUSTRALIA,0.57,21
SILK,SPAIN,0.49,22
SILK,BANGLADESH PR,0.48,23
SILK,SAUDI ARAB,0.48,23
SILK,PAKISTAN IR,0.45,25
SILK,INDONESIA,0.4,26
SILK,TURKEY,0.39,27
SILK,KOREA RP,0.32,28
SILK,NORWAY,0.27,29
SILK,AUSTRIA,0.27,29
SILK,KUWAIT,0.26,31
SILK,AFGHANISTAN TIS,0.23,32
SILK,MAURITIUS,0.2,33
SILK,LEBANON,0.17,34
SILK,BRAZIL,0.14,35
SILK,SWITZERLAND,0.14,35
SILK,GREECE,0.13,37
SILK,NEW ZEALAND,0.12,38
SILK,MOROCCO,0.11,39
SILK,CZECH REPUBLIC,0.1,40
SILK,SOUTH AFRICA,0.1,40
SILK,CHILE,0.08,42
SILK,ISRAEL,0.08,42
SILK,SLOVENIA,0.08,42
SILK,FIJI IS,0.08,42
SILK,POLAND,0.07,46
SILK,FINLAND,0.06,47
SILK,PORTUGAL,0.06,47
SILK,SERBIA,0.05,49
SILK,MEXICO,0.04,50
SILK,COLOMBIA,0.04,50
SILK,LITHUANIA,0.03,52
SILK,BHUTAN,0.03,52
SILK,CAMBODIA,0.03,52
SILK,LATVIA,0.03,52
SILK,SENEGAL,0.03,52
SILK,NIGERIA,0.03,52
SILK,MACEDONIA,0.03,52
SILK,TAIWAN,0.02,59
SILK,ETHIOPIA,0.02,59
SILK,TANZANIA REP,0.02,59
SILK,SWEDEN,0.02,59
SILK,PHILIPPINES,0.02,59
SILK,HUNGARY,0.02,59
SILK,BAHARAIN IS,0.02,59
SILK,ROMANIA,0.02,59
SILK,RUSSIA,0.02,59
SILK,CROATIA,0.02,59
SILK,MADAGASCAR,0.01,69
SILK,DENMARK,0.01,69
SILK,SUDAN,0.01,69
SILK,URUGUAY,0.01,69
SILK,SLOVAK REP,0.01,69
SILK,SEYCHELLES,0.01,69
SILK,GHANA,0.0,75
SILK,MONGOLIA,0.0,75
SILK,ARGENTINA,0.0,75
SILK,GEORGIA,0.0,75
SILK,ZAMBIA,0.0,75
SILK,TRINIDAD,0.0,75
SILK,IRAQ,0.0,75
SILK,KYRGHYZSTAN,0.0,75
SILK,MALDIVES,0.0,75
SILK,CYPRUS,0.0,75
SILK,PUERTO RICO,0.0,75
SILK,BULGARIA,0.0,75
SILK,MYANMAR,0.0,75
SILK,TUNISIA,0.0,75
SILK,EGYPT A RP,0.0,75
SILK,REUNION,0.0,75
SILK,CONGO P REP,0.0,75
SILK,GUYANA,0.0,75
SILK,PARAGUAY,0.0,75
SILK,MALTA,0.0,75
SILK,JORDAN,0.0,75
SILK,UKRAINE,0.0,75
SILK,ICELAND,0.0,75
SILK,AZERBAIJAN,0.0,75
SILK,C AFRI REP,"",99
SILK,KENYA,"",99
SILK,MONTENEGRO,"",99
SILK,PANAMA REPUBLIC,"",99
SILK,MALAWI,"",99
SILK,LUXEMBOURG,"",99
SILK,COTE D' IVOIRE,"",99
SILK,MONACO,"",99
SILK,IRAN,"",99
SILK,KAZAKHSTAN,"",99
SILK,GAMBIA,"",99
SILK,MOZAMBIQUE,"",99
SILK,NAMIBIA,"",99
SILK,DOMINIC REP,"",99
SILK,KOREA DP RP,"",99
SILK,GUATEMALA,"",99
SILK,SWAZILAND,"",99
SILK,PERU,"",99
SILK,US MINOR OUTLYING ISLANDS,"",99
SILK,MACAO,"",99
SILK,UGANDA,"",99
SILK,IRELAND,"",99
SILK,BRUNEI,"",99
