Commodity,country,total_value,rank
TIN AND ARTICLES THEREOF.,U ARAB EMTS,3.53,1
TIN AND ARTICLES THEREOF.,KOREA RP,2.83,2
TIN AND ARTICLES THEREOF.,U K,0.96,3
TIN AND ARTICLES THEREOF.,SRI LANKA DSR,0.51,4
TIN AND ARTICLES THEREOF.,NEPAL,0.45,5
TIN AND ARTICLES THEREOF.,SOUTH AFRICA,0.32,6
TIN AND ARTICLES THEREOF.,U S A,0.26,7
TIN AND ARTICLES THEREOF.,TAIWAN,0.26,7
TIN AND ARTICLES THEREOF.,UGANDA,0.2,9
TIN AND ARTICLES THEREOF.,BANGLADESH PR,0.14,10
TIN AND ARTICLES THEREOF.,ETHIOPIA,0.13,11
TIN AND ARTICLES THEREOF.,SAUDI ARAB,0.12,12
TIN AND ARTICLES THEREOF.,OMAN,0.09,13
TIN AND ARTICLES THEREOF.,HUNGARY,0.07,14
TIN AND ARTICLES THEREOF.,NIGERIA,0.06,15
TIN AND ARTICLES THEREOF.,NETHERLAND,0.05,16
TIN AND ARTICLES THEREOF.,SINGAPORE,0.04,17
TIN AND ARTICLES THEREOF.,IRAN,0.04,17
TIN AND ARTICLES THEREOF.,QATAR,0.03,19
TIN AND ARTICLES THEREOF.,GERMANY,0.02,20
TIN AND ARTICLES THEREOF.,HONG KONG,0.02,20
TIN AND ARTICLES THEREOF.,TANZANIA REP,0.02,20
TIN AND ARTICLES THEREOF.,SUDAN,0.02,20
TIN AND ARTICLES THEREOF.,INDONESIA,0.01,24
TIN AND ARTICLES THEREOF.,JORDAN,0.01,24
TIN AND ARTICLES THEREOF.,THAILAND,0.01,24
TIN AND ARTICLES THEREOF.,AUSTRALIA,0.01,24
TIN AND ARTICLES THEREOF.,SWEDEN,0.01,24
TIN AND ARTICLES THEREOF.,KUWAIT,0.01,24
TIN AND ARTICLES THEREOF.,VIETNAM SOC REP,0.01,24
TIN AND ARTICLES THEREOF.,MALAYSIA,0.01,24
TIN AND ARTICLES THEREOF.,KENYA,0.0,32
TIN AND ARTICLES THEREOF.,SPAIN,0.0,32
TIN AND ARTICLES THEREOF.,JAPAN,0.0,32
TIN AND ARTICLES THEREOF.,BHUTAN,0.0,32
TIN AND ARTICLES THEREOF.,GUINEA,0.0,32
TIN AND ARTICLES THEREOF.,TURKEY,0.0,32
TIN AND ARTICLES THEREOF.,ZAMBIA,0.0,32
TIN AND ARTICLES THEREOF.,IRAQ,0.0,32
TIN AND ARTICLES THEREOF.,TOGO,0.0,32
TIN AND ARTICLES THEREOF.,ZIMBABWE,0.0,32
TIN AND ARTICLES THEREOF.,SOMALIA,0.0,32
TIN AND ARTICLES THEREOF.,SWITZERLAND,0.0,32
TIN AND ARTICLES THEREOF.,PHILIPPINES,0.0,32
TIN AND ARTICLES THEREOF.,LIBERIA,0.0,32
TIN AND ARTICLES THEREOF.,FRANCE,0.0,32
TIN AND ARTICLES THEREOF.,BELGIUM,0.0,32
TIN AND ARTICLES THEREOF.,ISRAEL,0.0,32
TIN AND ARTICLES THEREOF.,EGYPT A RP,0.0,32
TIN AND ARTICLES THEREOF.,ITALY,0.0,32
TIN AND ARTICLES THEREOF.,CZECH REPUBLIC,0.0,32
TIN AND ARTICLES THEREOF.,NEW ZEALAND,0.0,32
TIN AND ARTICLES THEREOF.,MALAWI,0.0,32
TIN AND ARTICLES THEREOF.,AUSTRIA,0.0,32
TIN AND ARTICLES THEREOF.,MYANMAR,0.0,32
TIN AND ARTICLES THEREOF.,SERBIA,0.0,32
TIN AND ARTICLES THEREOF.,CHILE,0.0,32
TIN AND ARTICLES THEREOF.,URUGUAY,0.0,32
TIN AND ARTICLES THEREOF.,COTE D' IVOIRE,"",59
TIN AND ARTICLES THEREOF.,CANADA,"",59
TIN AND ARTICLES THEREOF.,SENEGAL,"",59
TIN AND ARTICLES THEREOF.,RUSSIA,"",59
TIN AND ARTICLES THEREOF.,ECUADOR,"",59
TIN AND ARTICLES THEREOF.,SLOVENIA,"",59
TIN AND ARTICLES THEREOF.,MOZAMBIQUE,"",59
TIN AND ARTICLES THEREOF.,UZBEKISTAN,"",59
TIN AND ARTICLES THEREOF.,MALI,"",59
TIN AND ARTICLES THEREOF.,ANGOLA,"",59
TIN AND ARTICLES THEREOF.,PAKISTAN IR,"",59
TIN AND ARTICLES THEREOF.,ALGERIA,"",59
TIN AND ARTICLES THEREOF.,BAHARAIN IS,"",59
TIN AND ARTICLES THEREOF.,TUNISIA,"",59
TIN AND ARTICLES THEREOF.,BURUNDI,"",59
TIN AND ARTICLES THEREOF.,AZERBAIJAN,"",59
TIN AND ARTICLES THEREOF.,MAURITANIA,"",59
TIN AND ARTICLES THEREOF.,MAURITIUS,"",59
TIN AND ARTICLES THEREOF.,GHANA,"",59
TIN AND ARTICLES THEREOF.,PARAGUAY,"",59
TIN AND ARTICLES THEREOF.,MEXICO,"",59
TIN AND ARTICLES THEREOF.,BRAZIL,"",59
TIN AND ARTICLES THEREOF.,MALDIVES,"",59
TIN AND ARTICLES THEREOF.,COLOMBIA,"",59
