U S A,1934.89,1
U ARAB EMTS,1159.74,2
U K,780.0,3
GERMANY,662.77,4
FRANCE,384.64,5
SPAIN,262.2,6
NETHERLAND,260.13,7
ITALY,255.89,8
SAUDI ARAB,216.34,9
POLAND,143.42,10
NIGERIA,129.85,11
CANADA,121.13,12
SOUTH AFRICA,108.58,13
BELGIUM,93.49,14
AUSTRALIA,81.84,15
TANZANIA REP,69.19,16
DENMARK,57.72,17
SWEDEN,56.47,18
MEXICO,56.14,19
ISRAEL,51.75,20
IRELAND,51.29,21
KUWAIT,49.14,22
AFGHANISTAN TIS,43.18,23
OMAN,42.77,24
CHINA P RP,42.29,25
PANAMA REPUBLIC,39.96,26
RUSSIA,39.38,27
SWITZERLAND,35.91,28
JAPAN,31.0,29
CZECH REPUBLIC,30.28,30
QATAR,26.01,31
KOREA RP,25.47,32
HONG KONG,25.38,33
MYANMAR,21.03,34
SENEGAL,19.94,35
YEMEN REPUBLC,19.86,36
MALAYSIA,19.12,37
SLOVAK REP,19.03,38
PUERTO RICO,16.99,39
CHILE,14.46,40
BRAZIL,14.44,41
SOMALIA,13.69,42
IRAQ,13.32,43
PORTUGAL,13.13,44
SINGAPORE,11.42,45
FINLAND,11.31,46
SRI LANKA DSR,11.23,47
NEW ZEALAND,10.62,48
SUDAN,10.08,49
GREECE,9.26,50
NEPAL,9.03,51
SLOVENIA,8.87,52
NETHERLANDANTIL,8.76,53
THAILAND,7.52,54
KYRGHYZSTAN,6.84,55
PHILIPPINES,6.83,56
BAHARAIN IS,6.67,57
PERU,6.39,58
NORWAY,6.14,59
TURKEY,6.14,59
TAIWAN,5.51,61
AUSTRIA,5.24,62
LESOTHO,5.18,63
URUGUAY,5.16,64
BANGLADESH PR,5.02,65
ARGENTINA,4.69,66
JORDAN,4.13,67
HAITI,3.87,68
MAURITIUS,3.65,69
ALGERIA,3.43,70
GAMBIA,3.38,71
INDONESIA,3.35,72
TOGO,3.3,73
COLOMBIA,3.27,74
UGANDA,3.21,75
BELIZE,3.15,76
ZAMBIA,3.13,77
KENYA,3.06,78
MOZAMBIQUE,3.01,79
COSTA RICA,2.96,80
ROMANIA,2.69,81
FIJI IS,2.51,82
RWANDA,2.49,83
DOMINIC REP,2.05,84
GUINEA,2.02,85
MOROCCO,1.97,86
TRINIDAD,1.95,87
HUNGARY,1.92,88
JAMAICA,1.9,89
CROATIA,1.45,90
LEBANON,1.36,91
CONGO P REP,1.16,92
MALDIVES,1.15,93
ARUBA,1.12,94
SURINAME,1.09,95
GUYANA,1.09,95
CAMEROON,0.92,97
ST KITT N A,0.82,98
LIBYA,0.81,99
TURKMENISTAN,0.81,99
KAZAKHSTAN,0.8,101
REUNION,0.76,102
CONGO D. REP.,0.74,103
ANGOLA,0.71,104
BAHAMAS,0.69,105
COMOROS,0.68,106
DJIBOUTI,0.66,107
C AFRI REP,0.65,108
PARAGUAY,0.65,108
HONDURAS,0.62,110
EGYPT A RP,0.62,110
PAPUA N GNA,0.61,112
VIETNAM SOC REP,0.58,113
GHANA,0.57,114
EL SALVADOR,0.54,115
CYPRUS,0.53,116
ESTONIA,0.52,117
GEORGIA,0.48,118
UKRAINE,0.47,119
FR POLYNESIA,0.4,120
GUATEMALA,0.4,120
SERBIA,0.39,122
AZERBAIJAN,0.37,123
GRENADA,0.35,124
BOTSWANA,0.34,125
LATVIA,0.34,125
MAYOTTE,0.33,127
MALAWI,0.33,127
ALBANIA,0.33,127
ST LUCIA,0.31,130
NIGER,0.29,131
VENEZUELA,0.29,131
COTE D' IVOIRE,0.28,133
BHUTAN,0.26,134
BULGARIA,0.23,135
MALI,0.23,135
MAURITANIA,0.23,135
BARBADOS,0.19,138
