U S A,1699.57,1
U ARAB EMTS,456.71,2
GERMANY,424.25,3
U K,320.66,4
CANADA,272.67,5
NETHERLAND,213.04,6
ITALY,187.08,7
SAUDI ARAB,163.23,8
FRANCE,146.74,9
QATAR,142.44,10
AUSTRALIA,138.06,11
BELGIUM,133.81,12
NEPAL,124.05,13
CHILE,123.85,14
BANGLADESH PR,105.01,15
SPAIN,104.86,16
KUWAIT,103.2,17
NIGERIA,100.08,18
THAILAND,96.89,19
MEXICO,93.28,20
BRAZIL,93.0,21
EGYPT A RP,89.84,22
SRI LANKA DSR,89.05,23
SOUTH AFRICA,88.95,24
TANZANIA REP,81.08,25
OMAN,77.67,26
CHINA P RP,74.16,27
SINGAPORE,65.39,28
POLAND,64.71,29
CZECH REPUBLIC,63.11,30
AFGHANISTAN TIS,61.16,31
INDONESIA,59.07,32
JAPAN,51.74,33
COLOMBIA,42.71,34
PHILIPPINES,42.63,35
KOREA RP,42.14,36
GHANA,41.06,37
MAURITANIA,39.3,38
SWEDEN,38.94,39
MALAYSIA,37.58,40
DENMARK,37.39,41
KENYA,35.75,42
IRAQ,32.04,43
VIETNAM SOC REP,31.88,44
TURKEY,30.96,45
BAHARAIN IS,28.17,46
RUSSIA,28.04,47
FINLAND,26.57,48
JORDAN,24.37,49
ROMANIA,23.87,50
BHUTAN,21.26,51
AUSTRIA,21.18,52
SENEGAL,21.16,53
IRELAND,20.08,54
NORWAY,17.02,55
SIERRA LEONE,15.97,56
ISRAEL,15.73,57
MYANMAR,15.62,58
BURKINA FASO,14.5,59
GREECE,13.9,60
HUNGARY,13.68,61
ETHIOPIA,13.51,62
URUGUAY,13.16,63
UGANDA,12.76,64
MAURITIUS,11.83,65
SUDAN,11.77,66
SWITZERLAND,11.73,67
CONGO D. REP.,11.3,68
DOMINIC REP,11.02,69
MOROCCO,10.98,70
MALAWI,10.61,71
ARGENTINA,9.88,72
NEW ZEALAND,9.84,73
PUERTO RICO,9.65,74
GAMBIA,8.98,75
ALGERIA,8.54,76
BOTSWANA,8.19,77
MALI,8.04,78
PORTUGAL,7.91,79
SLOVENIA,7.52,80
ZAMBIA,7.4,81
TAIWAN,7.28,82
PAPUA N GNA,7.05,83
GUINEA,6.85,84
PERU,6.65,85
UKRAINE,6.41,86
MALTA,5.88,87
SYRIA,5.88,87
BENIN,5.67,89
PAKISTAN IR,5.29,90
COTE D' IVOIRE,5.23,91
TRINIDAD,5.17,92
MALDIVES,5.12,93
RWANDA,5.08,94
SOMALIA,5.05,95
YEMEN REPUBLC,5.03,96
IRAN,4.97,97
HONG KONG,4.73,98
CAMEROON,4.55,99
TOGO,4.25,100
PANAMA REPUBLIC,4.13,101
LIBYA,4.06,102
MOZAMBIQUE,4.01,103
ESTONIA,3.91,104
LEBANON,3.83,105
SLOVAK REP,3.66,106
REUNION,3.47,107
GUATEMALA,3.03,108
CROATIA,2.98,109
BOLIVIA,2.75,110
CYPRUS,2.69,111
GEORGIA,2.65,112
LITHUANIA,2.51,113
CONGO P REP,2.39,114
BULGARIA,2.18,115
SEYCHELLES,2.12,116
LIBERIA,2.09,117
PARAGUAY,2.01,118
ANGOLA,1.96,119
ECUADOR,1.9,120
BURUNDI,1.88,121
HONDURAS,1.86,122
LATVIA,1.78,123
TUNISIA,1.74,124
CAMBODIA,1.7,125
GABON,1.64,126
NICARAGUA,1.51,127
MADAGASCAR,1.42,128
NAMIBIA,1.35,129
CHAD,1.31,130
ZIMBABWE,1.3,131
NIGER,1.27,132
AZERBAIJAN,1.26,133
MARTINIQUE,1.12,134
UZBEKISTAN,1.1,135
LAO PD RP,1.05,136
FIJI IS,0.94,137
KAZAKHSTAN,0.94,137
JAMAICA,0.93,139
GUYANA,0.9,140
DJIBOUTI,0.82,141
SERBIA,0.72,142
UNSPECIFIED,0.72,142
FR GUIANA,0.67,144
COMOROS,0.62,145
GUADELOUPE,0.62,145
BELARUS,0.59,147
SURINAME,0.58,148
HAITI,0.57,149
EL SALVADOR,0.56,150
LUXEMBOURG,0.55,151
C AFRI REP,0.52,152
NEW CALEDONIA,0.46,153
BRUNEI,0.44,154
COSTA RICA,0.39,155
ALBANIA,0.35,156
ERITREA,0.26,157
ARUBA,0.23,158
GRENADA,0.16,159
NETHERLANDANTIL,0.16,159
VENEZUELA,0.14,161
CUBA,0.12,162
BARBADOS,0.12,162
MOLDOVA,0.1,164
FR POLYNESIA,0.1,164
EQUTL GUINEA,0.1,164
SWAZILAND,0.08,167
MONGOLIA,0.08,167
ICELAND,0.07,169
MACEDONIA,0.07,169
MONTENEGRO,0.07,169
ST LUCIA,0.05,172
SOUTH SUDAN,0.05,172
ANDORRA,0.05,172
LIECHTENSTEIN,0.05,172
KOREA DP RP,0.04,176
DOMINICA,0.03,177
CAPE VERDE IS,0.03,177
SAO TOME,0.03,177
NORFOLK IS,0.03,177
STATE OF PALEST,0.02,181
TURKMENISTAN,0.02,181
KIRIBATI REP,0.01,183
NAURU RP,0.01,183
US MINOR OUTLYING ISLANDS,0.01,183
TONGA,0.01,183
MACAO,0.01,183
ARMENIA,0.01,183
MAYOTTE,0.01,183
GUINEA BISSAU,0.01,183
BOSNIA-HRZGOVIN,0.01,183
GIBRALTAR,0.0,192
BAHAMAS,0.0,192
CAYMAN IS,0.0,192
ST KITT N A,0.0,192
TIMOR LESTE,0.0,192
TAJIKISTAN,0.0,192
TURKS C IS,0.0,192
VANUATU REP,0.0,192
MONTSERRAT,0.0,192
BELIZE,0.0,192
PALAU,0.0,192
KYRGHYZSTAN,0.0,192
SOLOMON IS,0.0,192
MONACO,0.0,192
MARSHALL ISLAND,0.0,192
SAN MARINO,0.0,192
BERMUDA,"",208
ANTIGUA,"",208
ST VINCENT,"",208
FAROE IS.,"",208
GREENLAND,"",208
