U S A,538.83,1
VIETNAM SOC REP,122.6,2
U ARAB EMTS,94.08,3
GERMANY,76.31,4
U K,54.73,5
TURKEY,36.82,6
FRANCE,33.46,7
POLAND,33.4,8
SAUDI ARAB,31.92,9
CANADA,29.12,10
ITALY,26.92,11
NETHERLAND,26.88,12
EGYPT A RP,24.65,13
NEPAL,21.35,14
SPAIN,18.89,15
QATAR,18.56,16
LIBYA,18.55,17
THAILAND,16.52,18
BELGIUM,16.15,19
IRAQ,14.79,20
INDONESIA,13.43,21
OMAN,12.72,22
KUWAIT,12.22,23
RUSSIA,12.12,24
MEXICO,11.7,25
CHINA P RP,11.35,26
ALGERIA,10.57,27
AUSTRALIA,10.41,28
MOROCCO,10.06,29
NIGERIA,9.89,30
LEBANON,8.92,31
ISRAEL,8.92,31
KOREA RP,8.48,33
JAPAN,8.32,34
IRELAND,7.84,35
SINGAPORE,7.47,36
BANGLADESH PR,7.19,37
SLOVENIA,6.77,38
MALAYSIA,6.73,39
SOUTH AFRICA,6.48,40
SRI LANKA DSR,5.38,41
ALBANIA,5.32,42
ROMANIA,5.05,43
KENYA,5.01,44
PHILIPPINES,4.89,45
CROATIA,4.66,46
JORDAN,4.01,47
COLOMBIA,3.87,48
BAHARAIN IS,3.77,49
NORWAY,3.64,50
BHUTAN,3.53,51
BRAZIL,3.23,52
PAKISTAN IR,3.11,53
NEW ZEALAND,3.08,54
DENMARK,2.94,55
SYRIA,2.76,56
TAIWAN,2.66,57
ETHIOPIA,2.63,58
SWEDEN,2.56,59
MAURITIUS,2.54,60
AUSTRIA,2.39,61
PERU,2.33,62
IRAN,2.11,63
GREECE,2.06,64
LITHUANIA,2.03,65
MALDIVES,2.03,65
CZECH REPUBLIC,1.82,67
HUNGARY,1.8,68
SLOVAK REP,1.65,69
TANZANIA REP,1.6,70
UGANDA,1.57,71
TUNISIA,1.56,72
HONG KONG,1.5,73
PORTUGAL,1.42,74
YEMEN REPUBLC,1.36,75
GHANA,1.35,76
LIECHTENSTEIN,1.27,77
BULGARIA,1.27,77
SUDAN,1.16,79
SERBIA,1.04,80
GEORGIA,1.03,81
BOSNIA-HRZGOVIN,1.02,82
CHILE,1.01,83
ECUADOR,0.98,84
UKRAINE,0.97,85
SEYCHELLES,0.96,86
RWANDA,0.87,87
SWITZERLAND,0.86,88
ESTONIA,0.85,89
MONTENEGRO,0.82,90
ARGENTINA,0.81,91
COTE D' IVOIRE,0.75,92
MYANMAR,0.75,92
FINLAND,0.63,94
ZAMBIA,0.62,95
ARMENIA,0.53,96
KAZAKHSTAN,0.52,97
UZBEKISTAN,0.52,97
MOZAMBIQUE,0.52,97
DOMINIC REP,0.5,100
AFGHANISTAN TIS,0.46,101
NIGER,0.45,102
JAMAICA,0.44,103
AZERBAIJAN,0.44,103
LATVIA,0.42,105
ANGOLA,0.39,106
CONGO D. REP.,0.38,107
TRINIDAD,0.35,108
GUATEMALA,0.33,109
MOLDOVA,0.29,110
CYPRUS,0.26,111
ZIMBABWE,0.24,112
PUERTO RICO,0.24,112
GUINEA,0.23,114
BENIN,0.22,115
MALAWI,0.22,115
REUNION,0.22,115
URUGUAY,0.22,115
CAMEROON,0.19,119
BURKINA FASO,0.19,119
HONDURAS,0.19,119
KYRGHYZSTAN,0.18,122
STATE OF PALEST,0.18,122
BOLIVIA,0.17,124
PANAMA REPUBLIC,0.17,124
FIJI IS,0.17,124
DJIBOUTI,0.17,124
SENEGAL,0.16,128
CONGO P REP,0.16,128
MACEDONIA,0.16,128
GABON,0.15,131
KOREA DP RP,0.15,131
COSTA RICA,0.14,133
GUYANA,0.13,134
SOMALIA,0.12,135
MAURITANIA,0.11,136
MONACO,0.1,137
SIERRA LEONE,0.1,137
MADAGASCAR,0.1,137
BARBADOS,0.1,137
VENEZUELA,0.09,141
LIBERIA,0.09,141
BRUNEI,0.08,143
BOTSWANA,0.08,143
ICELAND,0.07,145
CAYMAN IS,0.06,146
GRENADA,0.06,146
MALTA,0.06,146
MONGOLIA,0.05,149
CAMBODIA,0.05,149
BELARUS,0.05,149
BELIZE,0.05,149
BURUNDI,0.05,149
EL SALVADOR,0.04,154
PAPUA N GNA,0.04,154
TAJIKISTAN,0.04,154
PARAGUAY,0.04,154
LUXEMBOURG,0.03,158
TURKMENISTAN,0.03,158
BERMUDA,0.03,158
NICARAGUA,0.03,158
NAMIBIA,0.03,158
ST LUCIA,0.03,158
SURINAME,0.02,164
TOGO,0.02,164
MALI,0.02,164
NORFOLK IS,0.02,164
SWAZILAND,0.02,164
GAMBIA,0.01,169
US MINOR OUTLYING ISLANDS,0.01,169
EQUTL GUINEA,0.01,169
LAO PD RP,0.01,169
ARUBA,0.0,173
UNSPECIFIED,0.0,173
C AFRI REP,0.0,173
GUADELOUPE,0.0,173
MARTINIQUE,0.0,173
HAITI,0.0,173
MACAO,0.0,173
PALAU,0.0,173
NEW CALEDONIA,0.0,173
FR POLYNESIA,0.0,173
NETHERLANDANTIL,"",183
N. MARIANA IS.,"",183
COMOROS,"",183
VATICAN CITY,"",183
CUBA,"",183
ST KITT N A,"",183
BAHAMAS,"",183
CHAD,"",183
SAMOA,"",183
ANTIGUA,"",183
ANGUILLA,"",183
MARSHALL ISLAND,"",183
