SAUDI ARAB,197.88,1
U ARAB EMTS,121.65,2
U S A,84.39,3
MEXICO,68.65,4
NEPAL,67.08,5
IRAQ,60.58,6
OMAN,58.19,7
KUWAIT,39.23,8
POLAND,36.86,9
SRI LANKA DSR,36.23,10
SOUTH AFRICA,35.52,11
BRAZIL,34.25,12
GERMANY,34.03,13
U K,33.03,14
TAIWAN,27.65,15
THAILAND,25.57,16
ITALY,24.83,17
ISRAEL,24.55,18
QATAR,24.01,19
YEMEN REPUBLC,22.8,20
INDONESIA,22.33,21
GAMBIA,21.79,22
VIETNAM SOC REP,21.37,23
KOREA RP,20.56,24
TURKEY,17.94,25
CHINA P RP,16.32,26
KENYA,15.66,27
JAPAN,14.65,28
CHILE,14.02,29
BAHARAIN IS,13.05,30
ROMANIA,13.02,31
BELGIUM,12.22,32
EGYPT A RP,12.19,33
SPAIN,11.97,34
AUSTRALIA,11.81,35
ANGOLA,11.76,36
BANGLADESH PR,10.77,37
FRANCE,9.82,38
SENEGAL,9.67,39
TANZANIA REP,9.21,40
COLOMBIA,9.01,41
ALBANIA,8.86,42
IRAN,8.36,43
SOMALIA,8.34,44
MALAYSIA,7.27,45
UKRAINE,7.03,46
JORDAN,6.77,47
RUSSIA,6.56,48
GREECE,6.55,49
MOZAMBIQUE,6.48,50
NETHERLAND,6.36,51
MAURITIUS,4.91,52
NIGERIA,4.81,53
UGANDA,4.79,54
BULGARIA,4.76,55
CAMEROON,4.7,56
LIBYA,4.63,57
PHILIPPINES,4.52,58
LIBERIA,4.35,59
COTE D' IVOIRE,4.25,60
LEBANON,4.12,61
GEORGIA,4.05,62
BHUTAN,3.94,63
SIERRA LEONE,3.81,64
CANADA,3.73,65
GHANA,3.72,66
ALGERIA,3.54,67
ETHIOPIA,3.4,68
PERU,3.29,69
GUINEA,3.1,70
TRINIDAD,2.97,71
SWEDEN,2.75,72
MOROCCO,2.56,73
MADAGASCAR,2.54,74
SUDAN,2.49,75
GUATEMALA,2.36,76
MAURITANIA,2.3,77
DJIBOUTI,2.3,77
SYRIA,2.05,79
MALI,2.02,80
ZAMBIA,2.01,81
CZECH REPUBLIC,1.96,82
CROATIA,1.9,83
NEW ZEALAND,1.86,84
IRELAND,1.83,85
CONGO D. REP.,1.81,86
DOMINIC REP,1.74,87
ARGENTINA,1.71,88
SINGAPORE,1.66,89
PARAGUAY,1.51,90
SLOVENIA,1.48,91
SLOVAK REP,1.45,92
MYANMAR,1.34,93
SEYCHELLES,1.34,93
HAITI,1.33,95
MALAWI,1.28,96
PORTUGAL,1.27,97
BOSNIA-HRZGOVIN,1.21,98
SERBIA,1.19,99
JAMAICA,1.16,100
TOGO,1.13,101
MALTA,1.09,102
FIJI IS,1.08,103
MALDIVES,1.05,104
BENIN,1.04,105
GABON,1.01,106
KAZAKHSTAN,0.99,107
CYPRUS,0.9,108
PAKISTAN IR,0.88,109
CONGO P REP,0.84,110
MACEDONIA,0.83,111
COSTA RICA,0.8,112
BURKINA FASO,0.8,112
BURUNDI,0.79,114
BOTSWANA,0.75,115
FINLAND,0.73,116
GUYANA,0.66,117
URUGUAY,0.65,118
MONTENEGRO,0.56,119
LUXEMBOURG,0.54,120
RWANDA,0.53,121
NORWAY,0.51,122
TUNISIA,0.49,123
HUNGARY,0.48,124
NIGER,0.47,125
LITHUANIA,0.46,126
NEW CALEDONIA,0.46,126
AFGHANISTAN TIS,0.45,128
ZIMBABWE,0.43,129
AUSTRIA,0.41,130
KOREA DP RP,0.41,130
DENMARK,0.4,132
PUERTO RICO,0.39,133
BRUNEI,0.35,134
COMOROS,0.33,135
EL SALVADOR,0.33,135
AZERBAIJAN,0.33,135
PANAMA REPUBLIC,0.24,138
HONDURAS,0.24,138
SURINAME,0.2,140
MAYOTTE,0.19,141
STATE OF PALEST,0.18,142
BARBADOS,0.18,142
GUINEA BISSAU,0.16,144
EQUTL GUINEA,0.16,144
REUNION,0.16,144
LATVIA,0.14,147
CAMBODIA,0.13,148
UZBEKISTAN,0.12,149
BOLIVIA,0.1,150
MOLDOVA,0.09,151
HONG KONG,0.09,151
ECUADOR,0.09,151
VENEZUELA,0.08,154
PAPUA N GNA,0.08,154
LESOTHO,0.07,156
SWITZERLAND,0.07,156
FR GUIANA,0.06,158
C AFRI REP,0.04,159
SAMOA,0.04,159
CUBA,0.03,161
NAMIBIA,0.03,161
MARTINIQUE,0.03,161
GUADELOUPE,0.03,161
NETHERLANDANTIL,0.02,165
ARMENIA,0.02,165
ST LUCIA,0.02,165
FR POLYNESIA,0.02,165
ERITREA,0.02,165
ARUBA,0.02,165
NICARAGUA,0.02,165
GRENADA,0.02,165
ANTIGUA,0.01,173
TURKMENISTAN,0.01,173
ST VINCENT,0.01,173
MONGOLIA,0.01,173
DOMINICA,0.01,173
SWAZILAND,0.01,173
TIMOR LESTE,0.01,173
HEARD MACDONALD,0.01,173
MONACO,0.01,173
MICRONESIA,0.0,182
PALAU,0.0,182
BERMUDA,0.0,182
ICELAND,0.0,182
ESTONIA,0.0,182
CAYMAN IS,0.0,182
LAO PD RP,0.0,182
ST KITT N A,0.0,182
UNSPECIFIED,0.0,182
VIRGIN IS US,0.0,182
BELIZE,"",192
MACAO,"",192
KYRGHYZSTAN,"",192
TAJIKISTAN,"",192
SAO TOME,"",192
LIECHTENSTEIN,"",192
FAROE IS.,"",192
CHAD,"",192
ANDORRA,"",192
BELARUS,"",192
MARSHALL ISLAND,"",192
