U S A,0.9,1
U ARAB EMTS,0.42,2
OMAN,0.38,3
BANGLADESH PR,0.32,4
KUWAIT,0.22,5
ITALY,0.14,6
NIGERIA,0.14,6
SAUDI ARAB,0.14,6
SOUTH AFRICA,0.12,9
U K,0.09,10
THAILAND,0.09,10
LEBANON,0.08,12
AUSTRALIA,0.08,12
PAKISTAN IR,0.07,14
IRAN,0.07,14
CHINA P RP,0.06,16
BAHARAIN IS,0.04,17
EGYPT A RP,0.04,17
MALAYSIA,0.03,19
QATAR,0.03,19
INDONESIA,0.03,19
SINGAPORE,0.02,22
DENMARK,0.02,22
NEPAL,0.02,22
ARGENTINA,0.02,22
TURKEY,0.02,22
NETHERLAND,0.02,22
SRI LANKA DSR,0.01,28
GERMANY,0.01,28
BRAZIL,0.01,28
KOREA RP,0.01,28
KENYA,0.01,28
UKRAINE,0.01,28
PHILIPPINES,0.01,28
SERBIA,0.01,28
MYANMAR,0.01,28
CANADA,0.01,28
BOLIVIA,0.0,38
HONG KONG,0.0,38
GHANA,0.0,38
SEYCHELLES,0.0,38
GREECE,0.0,38
MALI,0.0,38
CONGO P REP,0.0,38
CROATIA,0.0,38
BELGIUM,0.0,38
CHILE,0.0,38
COLOMBIA,0.0,38
MALDIVES,0.0,38
NEW ZEALAND,0.0,38
BHUTAN,0.0,38
IRELAND,0.0,38
ALGERIA,0.0,38
SYRIA,0.0,38
POLAND,0.0,38
GEORGIA,0.0,38
ISRAEL,0.0,38
GUYANA,0.0,38
ETHIOPIA,0.0,38
UGANDA,0.0,38
VIETNAM SOC REP,0.0,38
SLOVAK REP,0.0,38
LIBYA,0.0,38
BOTSWANA,0.0,38
ZAMBIA,0.0,38
MOROCCO,0.0,38
TOGO,0.0,38
RUSSIA,0.0,38
HUNGARY,"",69
PAPUA N GNA,"",69
SIERRA LEONE,"",69
FIJI IS,"",69
TANZANIA REP,"",69
GUINEA,"",69
MAURITIUS,"",69
BRUNEI,"",69
SURINAME,"",69
SENEGAL,"",69
ZIMBABWE,"",69
ARUBA,"",69
COTE D' IVOIRE,"",69
SWITZERLAND,"",69
RWANDA,"",69
HAITI,"",69
MALAWI,"",69
JAPAN,"",69
JORDAN,"",69
COSTA RICA,"",69
BARBADOS,"",69
SPAIN,"",69
HONDURAS,"",69
MEXICO,"",69
TAIWAN,"",69
PERU,"",69
MAURITANIA,"",69
SUDAN,"",69
ANGOLA,"",69
FRANCE,"",69
TUNISIA,"",69
CONGO D. REP.,"",69
MACEDONIA,"",69
