BANGLADESH PR,1878.04,1
CHINA P RP,1786.77,2
PAKISTAN IR,550.33,3
VIETNAM SOC REP,455.12,4
SRI LANKA DSR,239.89,5
KOREA RP,237.03,6
EGYPT A RP,221.08,7
PORTUGAL,142.44,8
PERU,128.55,9
THAILAND,126.87,10
COLOMBIA,105.0,11
INDONESIA,104.21,12
U S A,101.39,13
MALAYSIA,97.56,14
ITALY,93.61,15
SENEGAL,84.7,16
GERMANY,84.29,17
TURKEY,75.4,18
NEPAL,70.04,19
JAPAN,65.61,20
U ARAB EMTS,62.65,21
TAIWAN,54.16,22
GUATEMALA,52.68,23
TOGO,51.2,24
SUDAN,47.0,25
MYANMAR,46.49,26
MAURITIUS,45.36,27
GAMBIA,34.28,28
PHILIPPINES,33.95,29
BELGIUM,33.94,30
HONG KONG,33.59,31
POLAND,33.08,32
MOROCCO,29.26,33
TANZANIA REP,27.64,34
SPAIN,27.6,35
U K,24.61,36
NIGERIA,24.57,37
BENIN,22.57,38
MOZAMBIQUE,22.35,39
MEXICO,22.34,40
BRAZIL,20.49,41
MAURITANIA,19.77,42
CHILE,19.68,43
TUNISIA,18.43,44
SOUTH AFRICA,17.16,45
ISRAEL,16.98,46
MADAGASCAR,16.62,47
DOMINIC REP,15.76,48
SAUDI ARAB,15.08,49
NIGER,14.59,50
GUINEA,13.68,51
ANGOLA,12.64,52
MALI,12.3,53
IRAN,12.08,54
KENYA,11.57,55
SYRIA,10.92,56
LESOTHO,10.88,57
NETHERLAND,10.0,58
ECUADOR,9.9,59
GHANA,9.54,60
COTE D' IVOIRE,9.34,61
JORDAN,9.15,62
FRANCE,9.13,63
BAHARAIN IS,8.79,64
ALGERIA,8.24,65
CZECH REPUBLIC,8.14,66
CAMBODIA,7.59,67
BURKINA FASO,7.43,68
OMAN,6.55,69
CANADA,6.5,70
AUSTRALIA,6.34,71
BULGARIA,6.28,72
UKRAINE,6.13,73
CONGO D. REP.,6.08,74
GREECE,5.64,75
RUSSIA,4.99,76
KUWAIT,4.98,77
ZAMBIA,4.78,78
DENMARK,4.75,79
YEMEN REPUBLC,4.43,80
CONGO P REP,4.42,81
DJIBOUTI,4.22,82
ETHIOPIA,4.2,83
LEBANON,4.16,84
CROATIA,3.99,85
AUSTRIA,3.81,86
BURUNDI,3.71,87
SWITZERLAND,3.52,88
PARAGUAY,3.42,89
SINGAPORE,3.29,90
ARGENTINA,3.06,91
SLOVENIA,2.96,92
UGANDA,2.63,93
COMOROS,2.53,94
VENEZUELA,2.46,95
HONDURAS,2.44,96
AFGHANISTAN TIS,2.38,97
GABON,2.13,98
SWEDEN,1.93,99
MONTENEGRO,1.85,100
SIERRA LEONE,1.84,101
KOREA DP RP,1.72,102
QATAR,1.7,103
ROMANIA,1.53,104
LITHUANIA,1.28,105
ESTONIA,1.1,106
CAMEROON,1.05,107
FIJI IS,1.03,108
MACEDONIA,0.85,109
PANAMA REPUBLIC,0.75,110
UNSPECIFIED,0.71,111
NORWAY,0.69,112
TRINIDAD,0.66,113
HUNGARY,0.65,114
EL SALVADOR,0.62,115
MALAWI,0.58,116
NEW ZEALAND,0.51,117
FINLAND,0.51,117
SERBIA,0.44,119
MAYOTTE,0.39,120
C AFRI REP,0.36,121
UZBEKISTAN,0.35,122
MALDIVES,0.32,123
LATVIA,0.32,123
EQUTL GUINEA,0.3,125
CUBA,0.3,125
BARBADOS,0.26,127
NICARAGUA,0.26,127
COSTA RICA,0.23,129
PAPUA N GNA,0.19,130
IRELAND,0.18,131
BOLIVIA,0.17,132
BHUTAN,0.17,132
GUADELOUPE,0.15,134
ZIMBABWE,0.15,134
JAMAICA,0.14,136
SURINAME,0.13,137
KAZAKHSTAN,0.13,137
CYPRUS,0.12,139
REUNION,0.11,140
SOMALIA,0.11,140
NETHERLANDANTIL,0.11,140
CHAD,0.1,143
URUGUAY,0.1,143
PUERTO RICO,0.09,145
HAITI,0.09,145
SEYCHELLES,0.08,147
IRAQ,0.07,148
BELARUS,0.07,148
MARTINIQUE,0.06,150
FR GUIANA,0.05,151
SWAZILAND,0.04,152
BRUNEI,0.04,152
DOMINICA,0.04,152
BOTSWANA,0.04,152
GUYANA,0.04,152
KYRGHYZSTAN,0.03,157
MALTA,0.02,158
TONGA,0.02,158
ALBANIA,0.02,158
ST VINCENT,0.02,158
PALAU,0.01,162
RWANDA,0.01,162
SAMOA,0.01,162
ANTIGUA,0.01,162
MONGOLIA,0.01,162
US MINOR OUTLYING ISLANDS,0.01,162
SLOVAK REP,0.01,162
TAJIKISTAN,0.0,169
BAHAMAS,0.0,169
BERMUDA,0.0,169
GEORGIA,0.0,169
ANDORRA,0.0,169
PITCAIRN IS.,0.0,169
LUXEMBOURG,0.0,169
NEW CALEDONIA,0.0,169
ARUBA,0.0,169
MACAO,0.0,169
COOK IS,0.0,169
NAMIBIA,0.0,169
MONTSERRAT,0.0,169
SOUTH SUDAN,0.0,169
MICRONESIA,"",183
BR VIRGN IS,"",183
FR POLYNESIA,"",183
LIBERIA,"",183
BOSNIA-HRZGOVIN,"",183
BELIZE,"",183
LAO PD RP,"",183
ANTARTICA,"",183
AZERBAIJAN,"",183
VANUATU REP,"",183
ST LUCIA,"",183
SAN MARINO,"",183
LIBYA,"",183
