U S A,1786.79,1
U ARAB EMTS,1713.22,2
GERMANY,624.6,3
CHINA P RP,579.52,4
U K,372.23,5
FRANCE,364.99,6
NETHERLAND,318.33,7
RUSSIA,304.51,8
BANGLADESH PR,295.07,9
HONG KONG,284.36,10
SAUDI ARAB,261.23,11
SINGAPORE,256.71,12
TURKEY,253.91,13
SOUTH AFRICA,239.09,14
VIETNAM SOC REP,220.3,15
NEPAL,201.75,16
MEXICO,194.23,17
EGYPT A RP,192.12,18
AUSTRALIA,182.9,19
INDONESIA,180.52,20
MALAYSIA,171.17,21
NIGERIA,170.26,22
KOREA RP,169.62,23
THAILAND,165.76,24
ISRAEL,147.72,25
SPAIN,140.34,26
OMAN,138.7,27
ITALY,132.14,28
SRI LANKA DSR,127.64,29
IRAN,119.47,30
JAPAN,119.4,31
KUWAIT,119.27,32
BRAZIL,104.32,33
QATAR,96.38,34
AUSTRIA,81.94,35
BELGIUM,76.39,36
POLAND,75.31,37
HUNGARY,71.56,38
KENYA,69.89,39
PHILIPPINES,65.4,40
MYANMAR,61.86,41
ROMANIA,59.58,42
CANADA,54.68,43
BHUTAN,52.93,44
SWEDEN,50.64,45
TAIWAN,50.18,46
TANZANIA REP,49.07,47
JORDAN,45.25,48
MOROCCO,44.79,49
GREECE,41.37,50
SWITZERLAND,35.55,51
CZECH REPUBLIC,35.07,52
BAHARAIN IS,34.1,53
GHANA,32.28,54
ARGENTINA,31.69,55
UGANDA,31.3,56
ALGERIA,28.41,57
COLOMBIA,27.99,58
SUDAN,27.59,59
IRAQ,26.73,60
DENMARK,25.92,61
MAURITIUS,25.77,62
RWANDA,25.21,63
KAZAKHSTAN,23.55,64
PORTUGAL,22.72,65
UKRAINE,21.68,66
IRELAND,20.22,67
ESTONIA,19.98,68
ETHIOPIA,19.58,69
ZAMBIA,19.55,70
SENEGAL,19.12,71
FINLAND,18.64,72
COTE D' IVOIRE,18.5,73
NORWAY,17.73,74
LAO PD RP,15.86,75
CONGO D. REP.,15.84,76
MALDIVES,14.59,77
BENIN,14.34,78
CHILE,13.17,79
GUINEA,13.12,80
AFGHANISTAN TIS,13.08,81
TUNISIA,12.81,82
PERU,12.56,83
PAKISTAN IR,12.42,84
NEW ZEALAND,11.84,85
SLOVAK REP,9.82,86
YEMEN REPUBLC,9.42,87
SLOVENIA,9.21,88
BULGARIA,8.78,89
CROATIA,8.58,90
MALAWI,7.91,91
MOZAMBIQUE,7.75,92
SEYCHELLES,7.58,93
GAMBIA,7.52,94
LEBANON,7.47,95
ANGOLA,7.09,96
DOMINIC REP,6.85,97
LIBERIA,6.59,98
CONGO P REP,6.59,98
CAMEROON,5.72,100
NIGER,5.39,101
LUXEMBOURG,5.36,102
ECUADOR,5.35,103
PANAMA REPUBLIC,5.21,104
UZBEKISTAN,5.11,105
PUERTO RICO,4.99,106
SOMALIA,4.93,107
BRUNEI,4.91,108
BOTSWANA,4.9,109
PARAGUAY,4.81,110
NAMIBIA,4.6,111
GEORGIA,4.32,112
BURKINA FASO,4.29,113
LIBYA,4.18,114
SIERRA LEONE,4.18,114
SYRIA,4.04,116
ZIMBABWE,3.82,117
GUINEA BISSAU,3.65,118
GUATEMALA,3.52,119
MALI,3.46,120
HONDURAS,3.42,121
CAMBODIA,3.42,121
TAJIKISTAN,3.03,123
GABON,2.96,124
MALTA,2.94,125
URUGUAY,2.67,126
SERBIA,2.56,127
DJIBOUTI,2.46,128
AZERBAIJAN,2.44,129
BOLIVIA,2.15,130
JAMAICA,2.15,130
COSTA RICA,2.03,132
MADAGASCAR,1.89,133
LITHUANIA,1.8,134
ALBANIA,1.75,135
TRINIDAD,1.69,136
TOGO,1.65,137
MAURITANIA,1.45,138
GUYANA,1.39,139
NETHERLANDANTIL,1.26,140
EL SALVADOR,1.24,141
FIJI IS,1.08,142
HAITI,1.02,143
NICARAGUA,1.02,143
LATVIA,0.87,145
CYPRUS,0.81,146
BURUNDI,0.71,147
TURKMENISTAN,0.71,147
PAPUA N GNA,0.68,149
NEW CALEDONIA,0.68,149
SURINAME,0.66,151
VENEZUELA,0.6,152
MOLDOVA,0.59,153
CHAD,0.59,153
BELARUS,0.54,155
MACEDONIA,0.45,156
KYRGHYZSTAN,0.39,157
MONGOLIA,0.34,158
SOUTH SUDAN,0.32,159
ICELAND,0.31,160
CUBA,0.25,161
GRENADA,0.17,162
ARMENIA,0.15,163
C AFRI REP,0.14,164
SOLOMON IS,0.13,165
BELIZE,0.13,165
EQUTL GUINEA,0.13,165
BOSNIA-HRZGOVIN,0.1,168
TIMOR LESTE,0.08,169
MONTENEGRO,0.08,169
REUNION,0.07,171
NAURU RP,0.07,171
BAHAMAS,0.06,173
MACAO,0.06,173
SAMOA,0.05,175
SWAZILAND,0.05,175
LESOTHO,0.04,177
CAPE VERDE IS,0.04,177
COOK IS,0.04,177
ARUBA,0.03,180
GUAM,0.03,180
ANTIGUA,0.03,180
BARBADOS,0.03,180
COMOROS,0.02,184
FR POLYNESIA,0.02,184
VIRGIN IS US,0.01,186
US MINOR OUTLYING ISLANDS,0.01,186
ERITREA,0.01,186
UNSPECIFIED,0.01,186
KOREA DP RP,0.01,186
ST KITT N A,0.01,186
DOMINICA,0.01,186
MAYOTTE,0.01,186
N. MARIANA IS.,0.01,186
FALKLAND IS,0.0,195
CAYMAN IS,0.0,195
GREENLAND,0.0,195
MARSHALL ISLAND,0.0,195
PALAU,0.0,195
BERMUDA,0.0,195
VANUATU REP,0.0,195
MICRONESIA,0.0,195
STATE OF PALEST,0.0,195
TONGA,0.0,195
PITCAIRN IS.,0.0,195
TURKS C IS,0.0,195
KIRIBATI REP,0.0,195
GUADELOUPE,0.0,195
MONACO,0.0,195
LIECHTENSTEIN,0.0,195
ST VINCENT,0.0,195
MARTINIQUE,0.0,195
GIBRALTAR,0.0,195
ST LUCIA,0.0,195
VATICAN CITY,0.0,195
BR VIRGN IS,"",216
SAO TOME,"",216
MONTSERRAT,"",216
FAROE IS.,"",216
JERSEY,"",216
SAHARWI A.DM RP,"",216
FR GUIANA,"",216
ANGUILLA,"",216
ANDORRA,"",216
