U S A,320.0,1
IRAN,152.63,2
U ARAB EMTS,144.85,3
SINGAPORE,105.58,4
HONG KONG,103.47,5
CHINA P RP,87.22,6
NEPAL,70.87,7
BANGLADESH PR,64.51,8
SAUDI ARAB,64.43,9
FRANCE,62.34,10
U K,55.28,11
GERMANY,54.74,12
INDONESIA,53.65,13
SOUTH AFRICA,47.38,14
NIGERIA,37.14,15
PAKISTAN IR,35.75,16
NETHERLAND,34.94,17
SRI LANKA DSR,33.46,18
AUSTRALIA,29.72,19
JAPAN,28.53,20
MALAYSIA,24.36,21
EGYPT A RP,21.76,22
QATAR,18.59,23
BRAZIL,18.48,24
SPAIN,18.32,25
KOREA RP,18.19,26
THAILAND,16.32,27
TURKEY,11.83,28
CANADA,11.61,29
OMAN,11.22,30
MAURITIUS,10.5,31
KENYA,10.2,32
JORDAN,9.92,33
MYANMAR,9.62,34
MEXICO,9.47,35
RUSSIA,9.34,36
SWITZERLAND,9.22,37
ANGOLA,8.92,38
IRAQ,8.33,39
PHILIPPINES,8.19,40
KUWAIT,8.1,41
VIETNAM SOC REP,7.81,42
POLAND,7.39,43
TANZANIA REP,7.25,44
SUDAN,7.08,45
DENMARK,6.97,46
YEMEN REPUBLC,6.84,47
CHILE,6.67,48
BELGIUM,6.6,49
ETHIOPIA,6.43,50
NEW ZEALAND,5.81,51
ITALY,5.77,52
AFGHANISTAN TIS,5.63,53
GHANA,5.5,54
ZAMBIA,5.45,55
LEBANON,5.0,56
UGANDA,4.64,57
ALGERIA,4.14,58
BHUTAN,4.06,59
MOROCCO,3.72,60
CONGO D. REP.,3.68,61
COLOMBIA,3.64,62
ARGENTINA,3.5,63
MOZAMBIQUE,3.18,64
TAIWAN,3.07,65
MALDIVES,2.94,66
HAITI,2.91,67
SOMALIA,2.77,68
ISRAEL,2.64,69
SYRIA,2.43,70
LIBYA,2.34,71
LATVIA,2.3,72
SENEGAL,2.3,72
ZIMBABWE,2.12,74
IRELAND,2.11,75
BAHARAIN IS,2.05,76
FIJI IS,1.99,77
PANAMA REPUBLIC,1.89,78
SWEDEN,1.87,79
TRINIDAD,1.84,80
HUNGARY,1.69,81
UZBEKISTAN,1.68,82
CZECH REPUBLIC,1.57,83
PERU,1.53,84
GUATEMALA,1.52,85
UKRAINE,1.4,86
KAZAKHSTAN,1.32,87
ECUADOR,1.22,88
AUSTRIA,1.2,89
COSTA RICA,1.2,89
CAMEROON,1.16,91
BULGARIA,1.15,92
NAMIBIA,1.14,93
PORTUGAL,1.1,94
GAMBIA,1.06,95
ROMANIA,0.92,96
DJIBOUTI,0.84,97
BENIN,0.83,98
ESTONIA,0.8,99
COTE D' IVOIRE,0.78,100
MADAGASCAR,0.76,101
GUINEA,0.75,102
TOGO,0.73,103
MONGOLIA,0.73,103
MALAWI,0.72,105
PARAGUAY,0.71,106
MALI,0.63,107
CONGO P REP,0.58,108
CAMBODIA,0.57,109
KYRGHYZSTAN,0.57,109
SIERRA LEONE,0.54,111
URUGUAY,0.51,112
SLOVAK REP,0.48,113
SWAZILAND,0.48,113
GUYANA,0.46,115
HONDURAS,0.45,116
SURINAME,0.45,116
MAURITANIA,0.45,116
LIBERIA,0.44,119
FINLAND,0.44,119
JAMAICA,0.42,121
GREECE,0.37,122
BOTSWANA,0.36,123
BURKINA FASO,0.34,124
EL SALVADOR,0.32,125
SLOVENIA,0.31,126
VENEZUELA,0.29,127
CHAD,0.27,128
SERBIA,0.27,128
DOMINIC REP,0.26,130
LITHUANIA,0.25,131
TUNISIA,0.24,132
AZERBAIJAN,0.24,132
TURKMENISTAN,0.23,134
SEYCHELLES,0.23,134
PAPUA N GNA,0.21,136
NIGER,0.19,137
REUNION,0.18,138
BELARUS,0.18,138
NORWAY,0.16,140
NETHERLANDANTIL,0.15,141
TAJIKISTAN,0.14,142
CROATIA,0.13,143
BRUNEI,0.13,143
KOREA DP RP,0.12,145
ALBANIA,0.11,146
CYPRUS,0.1,147
RWANDA,0.1,147
STATE OF PALEST,0.09,149
GUADELOUPE,0.09,149
GEORGIA,0.07,151
SOUTH SUDAN,0.06,152
ARMENIA,0.05,153
BOLIVIA,0.05,153
GRENADA,0.04,155
BURUNDI,0.04,155
PUERTO RICO,0.04,155
BELIZE,0.04,155
ST LUCIA,0.03,159
TIMOR LESTE,0.03,159
CAPE VERDE IS,0.03,159
BARBADOS,0.03,159
DOMINICA,0.02,163
MARTINIQUE,0.02,163
BOSNIA-HRZGOVIN,0.02,163
UNSPECIFIED,0.01,166
ST VINCENT,0.01,166
LESOTHO,0.01,166
ICELAND,0.01,166
CAYMAN IS,0.01,166
MACEDONIA,0.01,166
LUXEMBOURG,0.01,166
NICARAGUA,0.01,166
NEW CALEDONIA,0.01,166
COMOROS,0.01,166
LAO PD RP,0.01,166
ST KITT N A,0.0,177
SOLOMON IS,0.0,177
TONGA,0.0,177
MONTSERRAT,0.0,177
MONTENEGRO,0.0,177
EQUTL GUINEA,0.0,177
MALTA,0.0,177
FR GUIANA,0.0,177
MOLDOVA,0.0,177
GABON,0.0,177
US MINOR OUTLYING ISLANDS,0.0,177
MACAO,0.0,177
ARUBA,0.0,177
PITCAIRN IS.,0.0,177
VANUATU REP,0.0,177
GUINEA BISSAU,0.0,177
ANTIGUA,0.0,177
C AFRI REP,"",194
TUVALU,"",194
FR POLYNESIA,"",194
GIBRALTAR,"",194
CUBA,"",194
GUAM,"",194
AMERI SAMOA,"",194
BAHAMAS,"",194
KIRIBATI REP,"",194
BR VIRGN IS,"",194
PALAU,"",194
