U S A,4.68,1
U ARAB EMTS,0.95,2
GERMANY,0.88,3
FRANCE,0.88,3
AUSTRALIA,0.84,5
CHINA P RP,0.56,6
CANADA,0.48,7
MALAYSIA,0.43,8
ITALY,0.41,9
DENMARK,0.39,10
BELGIUM,0.26,11
U K,0.2,12
NETHERLAND,0.18,13
GREECE,0.18,13
NEW ZEALAND,0.15,15
BANGLADESH PR,0.11,16
ISRAEL,0.1,17
PERU,0.1,17
SPAIN,0.1,17
MEXICO,0.08,20
CHILE,0.08,20
SAUDI ARAB,0.07,22
VIETNAM SOC REP,0.06,23
AUSTRIA,0.06,23
TURKEY,0.06,23
DOMINIC REP,0.05,26
PORTUGAL,0.05,26
KOREA RP,0.04,28
ROMANIA,0.04,28
SINGAPORE,0.04,28
NORWAY,0.03,31
PAKISTAN IR,0.03,31
MOROCCO,0.03,31
JAPAN,0.02,34
NEPAL,0.02,34
LITHUANIA,0.02,34
ESTONIA,0.02,34
TAIWAN,0.02,34
SOUTH AFRICA,0.02,34
CONGO P REP,0.02,34
RUSSIA,0.02,34
THAILAND,0.02,34
PHILIPPINES,0.01,43
ZAMBIA,0.01,43
LATVIA,0.01,43
COLOMBIA,0.01,43
CONGO D. REP.,0.01,43
SENEGAL,0.01,43
CAMEROON,0.01,43
KUWAIT,0.01,43
C AFRI REP,0.01,43
FINLAND,0.01,43
SWEDEN,0.01,43
ALBANIA,0.01,43
SLOVENIA,0.01,43
BRAZIL,0.01,43
GHANA,0.01,43
BURKINA FASO,0.0,58
CYPRUS,0.0,58
GUINEA,0.0,58
COTE D' IVOIRE,0.0,58
GABON,0.0,58
IRAQ,0.0,58
MALDIVES,0.0,58
POLAND,0.0,58
HONG KONG,0.0,58
BENIN,0.0,58
BHUTAN,0.0,58
HUNGARY,0.0,58
TANZANIA REP,0.0,58
QATAR,0.0,58
BAHARAIN IS,0.0,58
LIBERIA,0.0,58
SWITZERLAND,0.0,58
CZECH REPUBLIC,0.0,58
OMAN,"",76
TIMOR LESTE,"",76
ECUADOR,"",76
LUXEMBOURG,"",76
IRAN,"",76
VENEZUELA,"",76
LEBANON,"",76
CAMBODIA,"",76
NIGERIA,"",76
COSTA RICA,"",76
INDONESIA,"",76
CAYMAN IS,"",76
PANAMA REPUBLIC,"",76
GUAM,"",76
ARUBA,"",76
URUGUAY,"",76
MAURITANIA,"",76
KYRGHYZSTAN,"",76
