U S A,160.31,1
U ARAB EMTS,133.39,2
NEPAL,44.01,3
U K,43.43,4
GERMANY,42.64,5
IRAN,34.65,6
MEXICO,24.26,7
FRANCE,24.22,8
BRAZIL,22.43,9
SPAIN,20.81,10
CHINA P RP,19.78,11
SRI LANKA DSR,19.52,12
MALAYSIA,18.94,13
SOUTH AFRICA,18.26,14
ZAMBIA,15.72,15
NETHERLAND,15.67,16
ITALY,15.31,17
BELGIUM,14.47,18
EGYPT A RP,12.83,19
QATAR,10.05,20
BANGLADESH PR,9.67,21
SINGAPORE,9.3,22
NIGERIA,9.05,23
TURKEY,8.94,24
SAUDI ARAB,8.44,25
AUSTRALIA,8.23,26
AUSTRIA,8.03,27
HONG KONG,7.83,28
POLAND,7.51,29
VIETNAM SOC REP,6.96,30
CANADA,6.41,31
INDONESIA,6.24,32
DENMARK,5.66,33
THAILAND,5.12,34
KENYA,5.06,35
COLOMBIA,4.85,36
KUWAIT,4.3,37
MOROCCO,4.18,38
MOZAMBIQUE,4.1,39
RUSSIA,4.1,39
PHILIPPINES,3.81,41
KOREA RP,3.71,42
PAKISTAN IR,3.67,43
SWEDEN,3.61,44
BHUTAN,3.55,45
TUNISIA,3.47,46
ARGENTINA,3.42,47
LEBANON,3.18,48
SWITZERLAND,3.13,49
BAHARAIN IS,3.07,50
TANZANIA REP,2.89,51
GREECE,2.85,52
RWANDA,2.67,53
OMAN,2.56,54
BRUNEI,2.56,54
SENEGAL,2.52,56
MAURITIUS,2.38,57
NORWAY,2.25,58
GHANA,2.07,59
JAPAN,2.04,60
SLOVENIA,2.02,61
GAMBIA,2.01,62
TAIWAN,1.97,63
ALGERIA,1.9,64
MALAWI,1.85,65
COTE D' IVOIRE,1.74,66
SUDAN,1.65,67
ANGOLA,1.65,67
PORTUGAL,1.63,69
MYANMAR,1.6,70
JORDAN,1.46,71
ETHIOPIA,1.46,71
CZECH REPUBLIC,1.33,73
CHILE,1.28,74
ISRAEL,1.19,75
YEMEN REPUBLC,1.19,75
GEORGIA,1.02,77
NEW ZEALAND,0.98,78
ROMANIA,0.94,79
EL SALVADOR,0.92,80
BULGARIA,0.85,81
PERU,0.8,82
UGANDA,0.77,83
IRAQ,0.74,84
LIECHTENSTEIN,0.74,84
MALDIVES,0.63,86
PANAMA REPUBLIC,0.52,87
GUATEMALA,0.47,88
IRELAND,0.45,89
PARAGUAY,0.45,89
ECUADOR,0.39,91
FINLAND,0.38,92
ESTONIA,0.35,93
MALTA,0.35,93
CROATIA,0.35,93
CAMEROON,0.33,96
CONGO D. REP.,0.33,96
DOMINIC REP,0.32,98
LATVIA,0.32,98
GUINEA,0.31,100
TOGO,0.28,101
SYRIA,0.26,102
UKRAINE,0.25,103
SOMALIA,0.24,104
AFGHANISTAN TIS,0.23,105
CYPRUS,0.22,106
CAMBODIA,0.21,107
LIBERIA,0.21,107
COSTA RICA,0.2,109
BENIN,0.2,109
SEYCHELLES,0.18,111
LITHUANIA,0.17,112
NIGER,0.17,112
ZIMBABWE,0.16,114
CONGO P REP,0.16,114
HUNGARY,0.15,116
FIJI IS,0.15,116
URUGUAY,0.13,118
BOLIVIA,0.13,118
LIBYA,0.11,120
KAZAKHSTAN,0.11,120
GABON,0.11,120
UZBEKISTAN,0.1,123
REUNION,0.09,124
SWAZILAND,0.09,124
MOLDOVA,0.09,124
SERBIA,0.08,127
MONTENEGRO,0.07,128
BELARUS,0.07,128
SIERRA LEONE,0.07,128
LUXEMBOURG,0.07,128
NICARAGUA,0.06,132
ICELAND,0.05,133
HONDURAS,0.05,133
DJIBOUTI,0.04,135
SLOVAK REP,0.04,135
BOSNIA-HRZGOVIN,0.04,135
BOTSWANA,0.04,135
JAMAICA,0.04,135
GUYANA,0.03,140
TRINIDAD,0.03,140
PUERTO RICO,0.03,140
NAMIBIA,0.02,143
AZERBAIJAN,0.02,143
BURKINA FASO,0.01,145
NETHERLANDANTIL,0.01,145
MALI,0.01,145
GUINEA BISSAU,0.01,145
BURUNDI,0.01,145
HAITI,0.01,145
MADAGASCAR,0.01,145
GRENADA,0.01,145
MAURITANIA,0.01,145
ARMENIA,0.01,145
BELIZE,0.01,145
COMOROS,0.01,145
CUBA,0.01,145
ERITREA,0.0,158
CAYMAN IS,0.0,158
TIMOR LESTE,0.0,158
TURKMENISTAN,0.0,158
SURINAME,0.0,158
BAHAMAS,0.0,158
ALBANIA,0.0,158
NEW CALEDONIA,0.0,158
MONACO,0.0,158
BERMUDA,0.0,158
MARTINIQUE,0.0,158
EQUTL GUINEA,0.0,158
LAO PD RP,0.0,158
MACAO,0.0,158
FR POLYNESIA,0.0,158
KOREA DP RP,0.0,158
ST KITT N A,0.0,158
ARUBA,0.0,158
PAPUA N GNA,0.0,158
BARBADOS,0.0,158
KYRGHYZSTAN,0.0,158
GUADELOUPE,0.0,158
TURKS C IS,0.0,158
ANTIGUA,0.0,158
BR VIRGN IS,"",182
VENEZUELA,"",182
MARSHALL ISLAND,"",182
UNSPECIFIED,"",182
SOUTH SUDAN,"",182
TAJIKISTAN,"",182
CHAD,"",182
ST LUCIA,"",182
MACEDONIA,"",182
NORFOLK IS,"",182
TONGA,"",182
VANUATU REP,"",182
MONGOLIA,"",182
GIBRALTAR,"",182
DOMINICA,"",182
C AFRI REP,"",182
