TURKEY,296.26,1
BRAZIL,258.69,2
BANGLADESH PR,179.34,3
U S A,132.26,4
U ARAB EMTS,124.63,5
EGYPT A RP,60.8,6
SRI LANKA DSR,51.98,7
PAKISTAN IR,50.99,8
VIETNAM SOC REP,49.01,9
INDONESIA,48.54,10
AFGHANISTAN TIS,46.97,11
KOREA RP,46.89,12
THAILAND,45.98,13
U K,45.1,14
NEPAL,34.34,15
SAUDI ARAB,33.43,16
IRAN,33.42,17
MOROCCO,33.26,18
BELGIUM,32.86,19
MEXICO,32.75,20
MALAYSIA,31.28,21
PERU,29.53,22
CANADA,28.85,23
TOGO,28.82,24
CHINA P RP,24.83,25
SPAIN,24.17,26
ARGENTINA,21.77,27
COLOMBIA,20.92,28
GERMANY,19.94,29
NIGERIA,17.09,30
ITALY,16.67,31
PORTUGAL,16.61,32
KENYA,16.35,33
KUWAIT,13.52,34
AUSTRALIA,13.4,35
RUSSIA,12.95,36
POLAND,12.67,37
YEMEN REPUBLC,12.66,38
ALGERIA,11.49,39
SUDAN,11.43,40
CZECH REPUBLIC,11.22,41
SENEGAL,10.97,42
BURKINA FASO,10.57,43
JAPAN,9.92,44
CAMBODIA,9.26,45
SYRIA,8.89,46
BENIN,8.79,47
MAURITIUS,8.23,48
SOUTH AFRICA,7.47,49
NEW ZEALAND,7.26,50
SINGAPORE,6.93,51
NETHERLAND,6.35,52
JORDAN,5.88,53
ROMANIA,5.81,54
OMAN,5.81,54
TANZANIA REP,5.5,56
CONGO D. REP.,5.12,57
NIGER,5.05,58
TUNISIA,4.87,59
COTE D' IVOIRE,4.69,60
ECUADOR,4.65,61
ANGOLA,4.52,62
CHILE,4.42,63
GHANA,4.34,64
MOZAMBIQUE,4.25,65
FRANCE,3.89,66
ISRAEL,3.82,67
UKRAINE,3.66,68
MADAGASCAR,3.54,69
ETHIOPIA,3.52,70
QATAR,3.44,71
DJIBOUTI,3.33,72
SLOVENIA,3.3,73
IRAQ,3.24,74
PANAMA REPUBLIC,3.14,75
GUATEMALA,3.0,76
LITHUANIA,2.9,77
GAMBIA,2.77,78
FIJI IS,2.73,79
HONG KONG,2.69,80
MALI,2.39,81
CONGO P REP,2.27,82
TAIWAN,2.08,83
GREECE,2.07,84
PHILIPPINES,2.01,85
MYANMAR,2.0,86
HONDURAS,1.94,87
UGANDA,1.92,88
BAHARAIN IS,1.91,89
LATVIA,1.91,89
SOMALIA,1.7,91
CAMEROON,1.63,92
DENMARK,1.54,93
BULGARIA,1.4,94
CROATIA,1.27,95
EL SALVADOR,1.25,96
UNSPECIFIED,1.18,97
DOMINIC REP,1.17,98
ZAMBIA,1.14,99
LEBANON,1.11,100
PARAGUAY,1.05,101
ZIMBABWE,0.97,102
COSTA RICA,0.96,103
MAURITANIA,0.79,104
GUINEA,0.65,105
UZBEKISTAN,0.63,106
VENEZUELA,0.59,107
TRINIDAD,0.58,108
BHUTAN,0.56,109
SWITZERLAND,0.51,110
BRUNEI,0.51,110
CUBA,0.44,112
LIBYA,0.43,113
LAO PD RP,0.39,114
MALDIVES,0.39,114
MALAWI,0.37,116
KOREA DP RP,0.32,117
URUGUAY,0.31,118
BOLIVIA,0.3,119
BELARUS,0.29,120
IRELAND,0.29,120
HUNGARY,0.29,120
TAJIKISTAN,0.26,123
GUYANA,0.24,124
GABON,0.22,125
GEORGIA,0.2,126
AUSTRIA,0.18,127
HAITI,0.18,127
FINLAND,0.15,129
PAPUA N GNA,0.15,129
SEYCHELLES,0.15,129
ESTONIA,0.15,129
JAMAICA,0.13,133
REUNION,0.13,133
SURINAME,0.12,135
MACEDONIA,0.1,136
BURUNDI,0.1,136
CAPE VERDE IS,0.1,136
NORWAY,0.09,139
SLOVAK REP,0.08,140
ANDORRA,0.08,140
LIBERIA,0.08,140
RWANDA,0.07,143
PUERTO RICO,0.06,144
SWEDEN,0.06,144
SOUTH SUDAN,0.06,144
MICRONESIA,0.06,144
MONGOLIA,0.06,144
BOTSWANA,0.06,144
MONTENEGRO,0.05,150
MOLDOVA,0.05,150
BARBADOS,0.04,152
KYRGHYZSTAN,0.04,152
SERBIA,0.04,152
MALTA,0.04,152
FR POLYNESIA,0.04,152
FR GUIANA,0.02,157
CYPRUS,0.02,157
GUADELOUPE,0.02,157
MARTINIQUE,0.02,157
US MINOR OUTLYING ISLANDS,0.01,161
VANUATU REP,0.01,161
VIRGIN IS US,0.01,161
NICARAGUA,0.01,161
ST VINCENT,0.01,161
COMOROS,0.01,161
DOMINICA,0.01,161
SWAZILAND,0.01,161
MACAO,0.0,169
ANTIGUA,0.0,169
NAMIBIA,0.0,169
CHAD,0.0,169
ALBANIA,0.0,169
GRENADA,0.0,169
NETHERLANDANTIL,0.0,169
ARUBA,0.0,169
KAZAKHSTAN,0.0,169
ST LUCIA,0.0,169
MAYOTTE,0.0,169
C AFRI REP,0.0,169
AZERBAIJAN,0.0,169
NEW CALEDONIA,"",182
PITCAIRN IS.,"",182
SIERRA LEONE,"",182
ST KITT N A,"",182
EQUTL GUINEA,"",182
BAHAMAS,"",182
ICELAND,"",182
ARMENIA,"",182
MARSHALL ISLAND,"",182
BELIZE,"",182
