U S A,807.72,1
BRAZIL,633.97,2
CHINA P RP,142.86,3
BANGLADESH PR,137.89,4
BELGIUM,134.61,5
FRANCE,129.64,6
GERMANY,118.99,7
VIETNAM SOC REP,112.66,8
JAPAN,109.29,9
NETHERLAND,106.92,10
INDONESIA,101.26,11
THAILAND,95.58,12
U K,86.21,13
IRAN,80.77,14
TURKEY,78.7,15
ARGENTINA,76.85,16
U ARAB EMTS,75.99,17
EGYPT A RP,70.12,18
SOUTH AFRICA,68.34,19
SAUDI ARAB,65.45,20
KOREA RP,63.17,21
AUSTRALIA,59.34,22
SRI LANKA DSR,58.61,23
MALAYSIA,57.91,24
MEXICO,56.11,25
ISRAEL,54.14,26
RUSSIA,53.61,27
PAKISTAN IR,50.29,28
NEPAL,49.31,29
SINGAPORE,47.83,30
NIGERIA,42.53,31
ITALY,39.37,32
COLOMBIA,34.38,33
SPAIN,31.19,34
TANZANIA REP,31.18,35
PHILIPPINES,30.22,36
KENYA,28.17,37
COSTA RICA,26.9,38
ETHIOPIA,26.35,39
TAIWAN,24.61,40
UGANDA,24.55,41
PARAGUAY,21.25,42
CANADA,20.94,43
SUDAN,18.96,44
OMAN,18.66,45
COTE D' IVOIRE,17.19,46
GHANA,16.76,47
MOROCCO,15.05,48
PUERTO RICO,12.38,49
PORTUGAL,12.35,50
POLAND,12.27,51
MYANMAR,11.43,52
UKRAINE,11.03,53
GUATEMALA,10.64,54
SLOVENIA,10.13,55
NEW ZEALAND,10.11,56
ECUADOR,10.03,57
SWITZERLAND,9.55,58
QATAR,9.39,59
URUGUAY,9.26,60
KUWAIT,9.06,61
PERU,8.85,62
MALI,8.77,63
HONG KONG,8.36,64
JORDAN,8.32,65
IRAQ,7.77,66
BOLIVIA,7.72,67
CAMEROON,7.69,68
CHILE,7.11,69
BHUTAN,7.09,70
GUINEA,6.12,71
LATVIA,6.09,72
SENEGAL,5.85,73
ZAMBIA,5.82,74
SWEDEN,5.6,75
ALGERIA,5.27,76
SLOVAK REP,5.13,77
RWANDA,4.77,78
LEBANON,4.58,79
ESTONIA,4.53,80
GREECE,4.49,81
ROMANIA,4.17,82
TOGO,4.01,83
BAHARAIN IS,4.01,83
CZECH REPUBLIC,3.93,85
MOZAMBIQUE,3.51,86
MAURITIUS,3.51,86
BULGARIA,3.43,88
MADAGASCAR,3.4,89
MALAWI,3.39,90
GEORGIA,3.09,91
TUNISIA,3.02,92
LITHUANIA,3.0,93
MALDIVES,2.99,94
LIBYA,2.97,95
DOMINIC REP,2.89,96
YEMEN REPUBLC,2.82,97
SYRIA,2.54,98
BURKINA FASO,2.49,99
UZBEKISTAN,2.36,100
HAITI,1.95,101
NICARAGUA,1.87,102
ZIMBABWE,1.84,103
DENMARK,1.73,104
ARMENIA,1.64,105
KAZAKHSTAN,1.6,106
IRELAND,1.51,107
AZERBAIJAN,1.5,108
CONGO D. REP.,1.46,109
DJIBOUTI,1.35,110
AFGHANISTAN TIS,1.31,111
GABON,1.29,112
SERBIA,1.27,113
PANAMA REPUBLIC,1.25,114
VENEZUELA,1.2,115
CROATIA,1.17,116
HONDURAS,1.14,117
CONGO P REP,1.06,118
AUSTRIA,1.02,119
PAPUA N GNA,1.01,120
MAURITANIA,1.0,121
CUBA,0.88,122
FINLAND,0.88,122
TRINIDAD,0.83,124
EL SALVADOR,0.82,125
CYPRUS,0.81,126
SOMALIA,0.8,127
ANGOLA,0.77,128
BELARUS,0.76,129
CAMBODIA,0.66,130
BRUNEI,0.64,131
BENIN,0.64,131
FIJI IS,0.59,133
MOLDOVA,0.47,134
HUNGARY,0.44,135
LIBERIA,0.4,136
GUYANA,0.36,137
BURUNDI,0.35,138
JAMAICA,0.34,139
SURINAME,0.31,140
TURKMENISTAN,0.3,141
SIERRA LEONE,0.3,141
SEYCHELLES,0.27,143
BARBADOS,0.23,144
ALBANIA,0.22,145
GAMBIA,0.22,145
MACEDONIA,0.21,147
FR GUIANA,0.14,148
BELIZE,0.14,148
BOSNIA-HRZGOVIN,0.13,150
BOTSWANA,0.12,151
MONTENEGRO,0.09,152
MONGOLIA,0.08,153
NIGER,0.08,153
COMOROS,0.06,155
KOREA DP RP,0.05,156
ERITREA,0.05,156
TAJIKISTAN,0.05,156
GUINEA BISSAU,0.05,156
NORWAY,0.05,156
STATE OF PALEST,0.05,156
SOUTH SUDAN,0.04,162
MALTA,0.03,163
CAYMAN IS,0.03,163
NAMIBIA,0.03,163
GRENADA,0.03,163
LAO PD RP,0.02,167
SWAZILAND,0.02,167
ANTIGUA,0.02,167
ST LUCIA,0.01,170
NEW CALEDONIA,0.01,170
MAYOTTE,0.01,170
KYRGHYZSTAN,0.01,170
EQUTL GUINEA,0.01,170
NETHERLANDANTIL,0.01,170
TIMOR LESTE,0.01,170
SAMOA,0.0,177
ICELAND,0.0,177
MARSHALL ISLAND,0.0,177
CHAD,0.0,177
REUNION,0.0,177
FR POLYNESIA,0.0,177
DOMINICA,0.0,177
MONACO,0.0,177
UNSPECIFIED,0.0,177
LESOTHO,0.0,177
TONGA,0.0,177
ST VINCENT,0.0,177
BR VIRGN IS,0.0,177
C AFRI REP,0.0,177
VANUATU REP,0.0,177
LUXEMBOURG,0.0,177
ST KITT N A,0.0,177
MICRONESIA,0.0,177
KIRIBATI REP,"",195
SAO TOME,"",195
