U S A,4026.34,1
GERMANY,1430.85,2
U K,1063.26,3
CHINA P RP,830.88,4
SINGAPORE,800.36,5
BANGLADESH PR,752.72,6
THAILAND,679.47,7
U ARAB EMTS,653.01,8
NEPAL,640.31,9
INDONESIA,512.93,10
NIGERIA,481.75,11
ITALY,478.19,12
BELGIUM,458.37,13
FRANCE,443.63,14
JAPAN,416.68,15
TURKEY,407.51,16
SAUDI ARAB,308.26,17
MALAYSIA,295.14,18
BRAZIL,271.67,19
VIETNAM SOC REP,245.27,20
NETHERLAND,234.43,21
CANADA,232.07,22
SPAIN,230.74,23
KENYA,223.28,24
MEXICO,210.75,25
SOUTH AFRICA,203.53,26
RUSSIA,202.24,27
SRI LANKA DSR,194.96,28
EGYPT A RP,184.15,29
OMAN,176.22,30
KOREA RP,166.88,31
AUSTRALIA,159.29,32
KUWAIT,140.19,33
PHILIPPINES,136.71,34
POLAND,131.19,35
HUNGARY,109.19,36
SWEDEN,103.16,37
TANZANIA REP,95.39,38
PAKISTAN IR,94.88,39
HONG KONG,94.64,40
GHANA,84.59,41
IRAN,83.34,42
QATAR,80.7,43
BAHARAIN IS,75.11,44
ALGERIA,74.58,45
TAIWAN,74.48,46
UZBEKISTAN,73.53,47
ETHIOPIA,72.04,48
UGANDA,68.02,49
SUDAN,65.34,50
SWITZERLAND,62.64,51
BHUTAN,61.16,52
DENMARK,60.58,53
CZECH REPUBLIC,57.25,54
MYANMAR,55.91,55
COLOMBIA,55.43,56
MOROCCO,53.0,57
ROMANIA,51.9,58
AUSTRIA,50.36,59
ARGENTINA,41.34,60
ZAMBIA,40.16,61
ISRAEL,37.54,62
IRAQ,35.64,63
IRELAND,31.3,64
COTE D' IVOIRE,30.17,65
RWANDA,29.59,66
CHILE,27.77,67
CONGO D. REP.,27.13,68
MAURITIUS,25.4,69
SENEGAL,25.1,70
PORTUGAL,24.54,71
TUNISIA,24.27,72
PERU,24.25,73
GUINEA,24.03,74
MOZAMBIQUE,23.93,75
SLOVAK REP,23.64,76
LEBANON,22.36,77
UKRAINE,21.98,78
ZIMBABWE,21.58,79
CAMBODIA,20.97,80
MALAWI,20.65,81
MALI,20.6,82
FINLAND,20.38,83
NEW ZEALAND,20.27,84
