U S A,563.42,1
FRANCE,238.68,2
U K,223.62,3
SINGAPORE,219.06,4
GERMANY,212.62,5
CHINA P RP,150.33,6
U ARAB EMTS,113.0,7
JAPAN,74.45,8
BANGLADESH PR,62.82,9
BRAZIL,55.53,10
NETHERLAND,53.05,11
MALAYSIA,52.0,12
RUSSIA,48.32,13
ITALY,47.12,14
KOREA RP,42.76,15
SAUDI ARAB,41.21,16
NEPAL,39.75,17
ISRAEL,38.96,18
TURKEY,37.52,19
NIGERIA,36.85,20
AUSTRALIA,36.32,21
SOUTH AFRICA,34.55,22
INDONESIA,33.94,23
HONG KONG,33.22,24
THAILAND,31.81,25
SRI LANKA DSR,29.03,26
VIETNAM SOC REP,28.31,27
POLAND,25.05,28
EGYPT A RP,23.31,29
SWITZERLAND,23.18,30
CANADA,22.51,31
PHILIPPINES,21.88,32
IRAN,21.46,33
KENYA,21.22,34
BELGIUM,20.96,35
SPAIN,19.98,36
MEXICO,18.71,37
OMAN,18.04,38
SWEDEN,16.17,39
ETHIOPIA,13.75,40
AUSTRIA,13.23,41
TANZANIA REP,13.19,42
DENMARK,12.58,43
IRELAND,12.22,44
CZECH REPUBLIC,11.71,45
QATAR,11.67,46
ALGERIA,11.2,47
KUWAIT,11.19,48
IRAQ,10.17,49
ARGENTINA,10.11,50
COLOMBIA,9.82,51
CHILE,8.67,52
GHANA,8.43,53
TAIWAN,8.41,54
ECUADOR,8.29,55
MALDIVES,8.15,56
SUDAN,7.89,57
PORTUGAL,7.28,58
AFGHANISTAN TIS,7.25,59
MYANMAR,7.16,60
MOROCCO,6.75,61
UGANDA,6.61,62
PERU,6.49,63
BHUTAN,5.93,64
FINLAND,5.89,65
YEMEN REPUBLC,5.74,66
HUNGARY,5.61,67
UKRAINE,5.59,68
GREECE,5.4,69
BAHARAIN IS,4.7,70
PAKISTAN IR,4.66,71
MOZAMBIQUE,4.37,72
ROMANIA,4.1,73
KAZAKHSTAN,3.79,74
COSTA RICA,3.74,75
UZBEKISTAN,3.72,76
ZAMBIA,3.69,77
SLOVAK REP,3.62,78
NORWAY,3.53,79
LIBYA,3.4,80
RWANDA,3.27,81
BULGARIA,3.25,82
DOMINIC REP,3.13,83
ANGOLA,3.1,84
BOLIVIA,3.03,85
CONGO D. REP.,2.92,86
GUATEMALA,2.9,87
LUXEMBOURG,2.86,88
UNSPECIFIED,2.84,89
CROATIA,2.84,89
PUERTO RICO,2.77,91
MAURITIUS,2.76,92
JORDAN,2.75,93
LEBANON,2.58,94
TUNISIA,2.53,95
ZIMBABWE,2.42,96
NICARAGUA,2.4,97
COTE D' IVOIRE,2.37,98
LITHUANIA,2.29,99
GEORGIA,2.25,100
PAPUA N GNA,2.14,101
SYRIA,2.05,102
SENEGAL,2.04,103
PANAMA REPUBLIC,2.03,104
CAMEROON,1.94,105
PARAGUAY,1.79,106
NEW ZEALAND,1.79,106
BURKINA FASO,1.78,108
MADAGASCAR,1.71,109
URUGUAY,1.69,110
MALAWI,1.67,111
HONDURAS,1.59,112
GUINEA,1.48,113
CAMBODIA,1.4,114
BENIN,1.37,115
SOMALIA,1.31,116
BURUNDI,1.29,117
SERBIA,1.27,118
ARUBA,1.19,119
MALI,1.18,120
GABON,1.17,121
ESTONIA,1.13,122
CAYMAN IS,1.11,123
CUBA,1.07,124
LATVIA,1.02,125
CYPRUS,0.99,126
DJIBOUTI,0.93,127
SLOVENIA,0.91,128
NIGER,0.88,129
BOTSWANA,0.88,129
CONGO P REP,0.86,131
LIBERIA,0.81,132
FIJI IS,0.78,133
EL SALVADOR,0.74,134
SEYCHELLES,0.69,135
MALTA,0.68,136
JAMAICA,0.65,137
NAMIBIA,0.62,138
BELARUS,0.61,139
GUYANA,0.61,139
CHAD,0.6,141
TAJIKISTAN,0.58,142
TURKMENISTAN,0.54,143
KYRGHYZSTAN,0.54,143
ALBANIA,0.53,145
SIERRA LEONE,0.44,146
AZERBAIJAN,0.43,147
MAURITANIA,0.42,148
TOGO,0.42,148
TRINIDAD,0.37,150
ICELAND,0.36,151
ARMENIA,0.34,152
BOSNIA-HRZGOVIN,0.34,152
GAMBIA,0.34,152
MACEDONIA,0.32,155
ERITREA,0.31,156
MOLDOVA,0.31,156
MONGOLIA,0.3,158
VENEZUELA,0.29,159
LAO PD RP,0.22,160
TIMOR LESTE,0.21,161
KOREA DP RP,0.12,162
SOLOMON IS,0.11,163
HAITI,0.11,163
BRUNEI,0.11,163
BELIZE,0.11,163
C AFRI REP,0.11,163
BARBADOS,0.1,168
SURINAME,0.1,168
SWAZILAND,0.09,170
DOMINICA,0.09,170
VANUATU REP,0.08,172
SOUTH SUDAN,0.08,172
SAMOA,0.07,174
ST LUCIA,0.07,174
MONTENEGRO,0.05,176
REUNION,0.04,177
GRENADA,0.03,178
GUADELOUPE,0.03,178
LESOTHO,0.03,178
MICRONESIA,0.02,181
NETHERLANDANTIL,0.02,181
STATE OF PALEST,0.02,181
EQUTL GUINEA,0.02,181
BR VIRGN IS,0.01,185
FR POLYNESIA,0.01,185
TONGA,0.01,185
MARTINIQUE,0.01,185
BAHAMAS,0.01,185
ANGUILLA,0.01,185
GUINEA BISSAU,0.01,185
COMOROS,0.01,185
BERMUDA,0.01,185
NAURU RP,0.01,185
GUAM,0.01,185
ST VINCENT,0.0,196
LIECHTENSTEIN,0.0,196
COOK IS,0.0,196
SAO TOME,0.0,196
ANTIGUA,0.0,196
MACAO,0.0,196
ST KITT N A,0.0,196
GIBRALTAR,0.0,196
MAYOTTE,0.0,196
NEW CALEDONIA,0.0,196
AMERI SAMOA,0.0,196
ST PIERRE,0.0,196
PALAU,0.0,196
CAPE VERDE IS,0.0,196
MARSHALL ISLAND,0.0,196
FAROE IS.,0.0,196
KIRIBATI REP,0.0,196
MONACO,0.0,196
TURKS C IS,0.0,196
SAN MARINO,0.0,196
FR GUIANA,0.0,196
ANDORRA,"",217
SAHARWI A.DM RP,"",217
