U S A,2472.97,1
U K,288.41,2
GERMANY,253.05,3
U ARAB EMTS,172.46,4
SPAIN,137.44,5
FRANCE,133.03,6
AUSTRALIA,130.44,7
ITALY,129.37,8
NETHERLAND,128.98,9
CANADA,118.66,10
NIGERIA,71.41,11
BELGIUM,64.02,12
DENMARK,53.63,13
SWEDEN,51.78,14
JAPAN,51.33,15
CHILE,47.53,16
ISRAEL,46.96,17
SOUTH AFRICA,42.93,18
POLAND,42.85,19
GHANA,40.2,20
MEXICO,31.83,21
NORWAY,31.13,22
NEW ZEALAND,29.83,23
SAUDI ARAB,28.57,24
CHINA P RP,26.03,25
MALAYSIA,25.23,26
TANZANIA REP,22.81,27
AFGHANISTAN TIS,21.08,28
BANGLADESH PR,20.27,29
PAKISTAN IR,18.86,30
KENYA,18.32,31
IRAN,17.25,32
ETHIOPIA,16.29,33
SRI LANKA DSR,16.17,34
THAILAND,15.69,35
BRAZIL,14.95,36
GREECE,13.72,37
COTE D' IVOIRE,13.06,38
MOZAMBIQUE,12.8,39
PHILIPPINES,11.52,40
TOGO,11.51,41
RUSSIA,11.43,42
KOREA RP,11.42,43
FINLAND,10.83,44
SWITZERLAND,10.68,45
CONGO D. REP.,10.53,46
PANAMA REPUBLIC,10.52,47
OMAN,10.37,48
IRELAND,10.31,49
UGANDA,9.84,50
AUSTRIA,9.62,51
SUDAN,9.6,52
NEPAL,9.4,53
CAMEROON,9.39,54
SENEGAL,8.65,55
SLOVENIA,8.5,56
PORTUGAL,7.95,57
PERU,7.74,58
COLOMBIA,7.31,59
MALAWI,6.66,60
BURKINA FASO,6.66,60
ZAMBIA,6.52,62
QATAR,6.26,63
LATVIA,5.88,64
KUWAIT,5.62,65
LITHUANIA,5.41,66
MAURITIUS,5.31,67
HONG KONG,5.28,68
TAIWAN,5.14,69
CZECH REPUBLIC,4.87,70
YEMEN REPUBLC,4.82,71
SLOVAK REP,4.3,72
CROATIA,4.21,73
SINGAPORE,4.2,74
ARGENTINA,3.98,75
ZIMBABWE,3.92,76
EGYPT A RP,3.85,77
DJIBOUTI,3.84,78
IRAQ,3.82,79
ALGERIA,3.79,80
SYRIA,3.77,81
JORDAN,3.61,82
ANGOLA,3.06,83
URUGUAY,2.99,84
MALDIVES,2.84,85
ECUADOR,2.74,86
BAHARAIN IS,2.54,87
ESTONIA,2.52,88
MOROCCO,2.32,89
VIETNAM SOC REP,2.2,90
TRINIDAD,2.15,91
TURKEY,2.0,92
BULGARIA,2.0,92
INDONESIA,1.87,94
CHAD,1.8,95
FIJI IS,1.77,96
MYANMAR,1.71,97
SIERRA LEONE,1.55,98
COSTA RICA,1.53,99
DOMINIC REP,1.53,99
GUINEA,1.49,101
BHUTAN,1.4,102
MADAGASCAR,1.36,103
GUATEMALA,1.35,104
REUNION,1.31,105
BENIN,1.31,105
HONDURAS,1.3,107
LIBYA,1.29,108
CONGO P REP,1.26,109
HUNGARY,1.23,110
GAMBIA,1.19,111
TUNISIA,1.18,112
ROMANIA,1.13,113
PAPUA N GNA,1.0,114
UKRAINE,0.94,115
PARAGUAY,0.94,115
RWANDA,0.92,117
NETHERLANDANTIL,0.86,118
BAHAMAS,0.77,119
SOLOMON IS,0.75,120
NICARAGUA,0.71,121
LEBANON,0.71,121
MALTA,0.7,123
BURUNDI,0.65,124
CYPRUS,0.62,125
ICELAND,0.61,126
GUINEA BISSAU,0.6,127
SURINAME,0.52,128
GEORGIA,0.51,129
SEYCHELLES,0.49,130
SERBIA,0.48,131
SOMALIA,0.47,132
ALBANIA,0.46,133
MAURITANIA,0.44,134
CAMBODIA,0.41,135
PUERTO RICO,0.4,136
JAMAICA,0.35,137
BOSNIA-HRZGOVIN,0.33,138
VENEZUELA,0.33,138
HAITI,0.31,140
EL SALVADOR,0.3,141
GUYANA,0.29,142
MACAO,0.28,143
BRUNEI,0.28,143
LESOTHO,0.27,145
MALI,0.24,146
GABON,0.21,147
UZBEKISTAN,0.21,147
CUBA,0.18,149
BARBADOS,0.16,150
COMOROS,0.16,150
BOTSWANA,0.16,150
DOMINICA,0.12,153
LIBERIA,0.12,153
N. MARIANA IS.,0.12,153
CAYMAN IS,0.11,156
NEW CALEDONIA,0.11,156
ARUBA,0.11,156
NAMIBIA,0.09,159
BERMUDA,0.09,159
COOK IS,0.07,161
SWAZILAND,0.06,162
FAROE IS.,0.06,162
KOREA DP RP,0.06,162
BOLIVIA,0.06,162
BELARUS,0.05,166
