U ARAB EMTS,286.1,1
U S A,138.68,2
SRI LANKA DSR,128.79,3
CHINA P RP,117.7,4
NEPAL,106.29,5
U K,96.22,6
IRAN,75.68,7
KENYA,70.64,8
SAUDI ARAB,65.4,9
BANGLADESH PR,63.18,10
NIGERIA,58.46,11
GERMANY,55.36,12
VIETNAM SOC REP,43.04,13
SOUTH AFRICA,35.66,14
MALAYSIA,31.51,15
SINGAPORE,25.62,16
TURKEY,24.25,17
TANZANIA REP,24.2,18
THAILAND,23.07,19
ETHIOPIA,21.92,20
QATAR,20.3,21
UGANDA,19.71,22
OMAN,18.85,23
GHANA,18.64,24
ITALY,17.7,25
ISRAEL,17.08,26
INDONESIA,16.8,27
SUDAN,16.2,28
NETHERLAND,16.05,29
AUSTRALIA,14.46,30
EGYPT A RP,13.27,31
MEXICO,13.05,32
GREECE,12.56,33
PHILIPPINES,11.81,34
KUWAIT,11.62,35
JORDAN,11.15,36
CANADA,10.47,37
HONG KONG,9.68,38
BAHARAIN IS,8.84,39
MOZAMBIQUE,8.71,40
ZAMBIA,8.0,41
BHUTAN,7.5,42
ANGOLA,7.5,42
YEMEN REPUBLC,6.85,44
CONGO D. REP.,6.31,45
RUSSIA,5.48,46
SPAIN,4.93,47
COTE D' IVOIRE,4.92,48
FRANCE,4.75,49
TOGO,4.73,50
MAURITIUS,4.55,51
PUERTO RICO,4.53,52
ALGERIA,4.12,53
MADAGASCAR,3.97,54
NORWAY,3.86,55
PANAMA REPUBLIC,3.85,56
MYANMAR,3.73,57
UKRAINE,3.62,58
KOREA RP,3.56,59
HAITI,3.38,60
BURKINA FASO,3.34,61
PORTUGAL,2.98,62
LEBANON,2.97,63
CHILE,2.84,64
IRAQ,2.83,65
NEW ZEALAND,2.82,66
POLAND,2.73,67
CONGO P REP,2.71,68
CAMBODIA,2.67,69
DENMARK,2.58,70
MALAWI,2.53,71
BRAZIL,2.53,71
AFGHANISTAN TIS,2.48,73
TAIWAN,2.48,73
LIBERIA,2.45,75
BELGIUM,2.39,76
NICARAGUA,2.38,77
SWEDEN,2.37,78
CAMEROON,2.29,79
COLOMBIA,2.27,80
HONDURAS,2.13,81
PERU,1.97,82
