CHINA P RP,1104.52,1
U S A,831.33,2
U ARAB EMTS,397.81,3
ITALY,363.59,4
BANGLADESH PR,288.45,5
TURKEY,263.72,6
GERMANY,244.32,7
NEPAL,226.47,8
U K,208.93,9
VIETNAM SOC REP,182.69,10
INDONESIA,159.27,11
EGYPT A RP,143.2,12
JAPAN,140.46,13
NIGERIA,137.12,14
PAKISTAN IR,131.19,15
SOUTH AFRICA,117.41,16
SPAIN,116.45,17
MEXICO,116.18,18
ISRAEL,114.95,19
KENYA,113.18,20
BELGIUM,106.23,21
SRI LANKA DSR,105.73,22
CANADA,95.61,23
SAUDI ARAB,90.0,24
NETHERLAND,77.63,25
TANZANIA REP,73.61,26
QATAR,64.44,27
PERU,64.33,28
AUSTRALIA,63.89,29
PORTUGAL,61.57,30
THAILAND,61.05,31
BRAZIL,61.03,32
POLAND,59.87,33
MALAYSIA,59.74,34
FRANCE,55.9,35
ALGERIA,52.58,36
URUGUAY,52.37,37
COLOMBIA,52.28,38
GHANA,52.11,39
BAHARAIN IS,51.6,40
KOREA RP,43.44,41
IRAN,43.34,42
MOZAMBIQUE,39.77,43
SINGAPORE,38.16,44
RUSSIA,35.43,45
ETHIOPIA,34.71,46
MOROCCO,32.22,47
OMAN,31.57,48
ECUADOR,31.4,49
CHILE,29.8,50
UGANDA,29.67,51
ANGOLA,27.71,52
MAURITIUS,27.22,53
PARAGUAY,26.42,54
KUWAIT,26.36,55
SUDAN,26.18,56
GREECE,26.16,57
DJIBOUTI,24.8,58
DOMINIC REP,24.0,59
PHILIPPINES,22.92,60
ROMANIA,22.74,61
SENEGAL,21.3,62
ARGENTINA,19.93,63
CONGO D. REP.,19.31,64
BHUTAN,18.53,65
ZIMBABWE,18.41,66
YEMEN REPUBLC,17.32,67
MYANMAR,16.0,68
HONG KONG,15.52,69
MALDIVES,15.19,70
IRELAND,14.73,71
ZAMBIA,14.17,72
SWEDEN,13.42,73
UKRAINE,12.9,74
COTE D' IVOIRE,12.85,75
TAIWAN,12.65,76
IRAQ,12.51,77
CAMEROON,12.27,78
LEBANON,12.2,79
TOGO,12.11,80
BULGARIA,11.24,81
NEW ZEALAND,11.13,82
GUATEMALA,10.87,83
HAITI,10.79,84
TUNISIA,10.29,85
BURKINA FASO,9.88,86
DENMARK,9.43,87
JORDAN,9.2,88
SOMALIA,8.99,89
CONGO P REP,8.93,90
TRINIDAD,8.75,91
SLOVENIA,8.32,92
GAMBIA,8.24,93
SIERRA LEONE,8.17,94
PANAMA REPUBLIC,8.02,95
FINLAND,7.94,96
MONTENEGRO,7.41,97
MADAGASCAR,7.36,98
MALI,7.27,99
LATVIA,6.39,100
GUINEA,6.33,101
MALAWI,6.06,102
CROATIA,5.54,103
GEORGIA,5.43,104
COSTA RICA,5.39,105
UZBEKISTAN,5.37,106
PUERTO RICO,5.19,107
BENIN,5.17,108
HONDURAS,5.05,109
SERBIA,4.27,110
AUSTRIA,4.14,111
CZECH REPUBLIC,4.11,112
LITHUANIA,3.86,113
NICARAGUA,3.8,114
RWANDA,3.68,115
NORWAY,3.61,116
SLOVAK REP,3.32,117
EL SALVADOR,3.3,118
LIBERIA,3.13,119
HUNGARY,2.91,120
SYRIA,2.6,121
PAPUA N GNA,2.6,121
MAURITANIA,2.57,123
FIJI IS,2.46,124
AFGHANISTAN TIS,2.35,125
LIBYA,2.2,126
GABON,2.16,127
CUBA,2.05,128
SWITZERLAND,2.05,128
BRUNEI,2.05,128
SEYCHELLES,1.77,131
CYPRUS,1.6,132
ESTONIA,1.53,133
KAZAKHSTAN,1.48,134
BURUNDI,1.3,135
BOTSWANA,1.28,136
NIGER,1.16,137
EQUTL GUINEA,1.08,138
SURINAME,1.06,139
SAMOA,0.95,140
ALBANIA,0.81,141
JAMAICA,0.74,142
GUYANA,0.74,142
CAMBODIA,0.72,144
BOLIVIA,0.69,145
NAMIBIA,0.65,146
BELARUS,0.6,147
MALTA,0.56,148
VENEZUELA,0.54,149
REUNION,0.48,150
AZERBAIJAN,0.46,151
BARBADOS,0.43,152
LUXEMBOURG,0.41,153
ERITREA,0.4,154
ARUBA,0.25,155
SAO TOME,0.22,156
ANTIGUA,0.21,157
COMOROS,0.21,157
KOREA DP RP,0.2,159
C AFRI REP,0.15,160
CAPE VERDE IS,0.14,161
TURKMENISTAN,0.14,161
NETHERLANDANTIL,0.14,161
SOUTH SUDAN,0.13,164
SAN MARINO,0.12,165
CHAD,0.12,165
NEW CALEDONIA,0.11,167
SOLOMON IS,0.09,168
SWAZILAND,0.09,168
ST LUCIA,0.09,168
ST VINCENT,0.08,171
TIMOR LESTE,0.08,171
ICELAND,0.07,173
ARMENIA,0.07,173
GUINEA BISSAU,0.07,173
GRENADA,0.06,176
GUADELOUPE,0.06,176
BELIZE,0.06,176
BOSNIA-HRZGOVIN,0.05,179
LAO PD RP,0.04,180
VANUATU REP,0.04,180
MACEDONIA,0.03,182
MARTINIQUE,0.03,182
TAJIKISTAN,0.02,184
FR POLYNESIA,0.02,184
UNSPECIFIED,0.02,184
GIBRALTAR,0.02,184
MICRONESIA,0.02,184
MAYOTTE,0.02,184
MOLDOVA,0.01,190
LESOTHO,0.01,190
ANDORRA,0.01,190
KIRIBATI REP,0.01,190
MONGOLIA,0.01,190
BAHAMAS,0.01,190
CAYMAN IS,0.01,190
FR GUIANA,0.0,197
ST KITT N A,0.0,197
MONACO,0.0,197
NAURU RP,0.0,197
BERMUDA,0.0,197
MARSHALL ISLAND,0.0,197
DOMINICA,0.0,197
MONTSERRAT,0.0,197
STATE OF PALEST,0.0,197
PALAU,0.0,197
MACAO,0.0,197
