VIETNAM SOC REP,60.81,1
MYANMAR,26.94,2
CHINA P RP,11.19,3
JAPAN,7.27,4
BRAZIL,3.73,5
GERMANY,3.19,6
U S A,2.75,7
BELGIUM,2.26,8
NEW ZEALAND,1.67,9
PAKISTAN IR,1.37,10
TUNISIA,1.33,11
KOREA RP,0.96,12
U K,0.96,12
FRANCE,0.91,14
ITALY,0.82,15
BANGLADESH PR,0.79,16
SOUTH AFRICA,0.64,17
MALAYSIA,0.58,18
HONG KONG,0.56,19
PORTUGAL,0.42,20
THAILAND,0.4,21
ALBANIA,0.32,22
NETHERLAND,0.31,23
PHILIPPINES,0.28,24
INDONESIA,0.23,25
HUNGARY,0.17,26
ZAMBIA,0.16,27
TURKEY,0.09,28
QATAR,0.09,28
DOMINIC REP,0.08,30
LEBANON,0.07,31
AUSTRALIA,0.06,32
ROMANIA,0.06,32
SRI LANKA DSR,0.06,32
SWITZERLAND,0.05,35
MEXICO,0.05,35
U ARAB EMTS,0.04,37
BULGARIA,0.04,37
SPAIN,0.04,37
KUWAIT,0.04,37
NEPAL,0.04,37
CANADA,0.03,42
RUSSIA,0.02,43
AUSTRIA,0.02,43
YEMEN REPUBLC,0.02,43
BELARUS,0.02,43
NIGERIA,0.02,43
POLAND,0.02,43
UKRAINE,0.02,43
ISRAEL,0.02,43
MOZAMBIQUE,0.01,51
BAHARAIN IS,0.01,51
SAUDI ARAB,0.01,51
DENMARK,0.01,51
MOROCCO,0.01,51
SWEDEN,0.01,51
MALDIVES,0.0,57
BOLIVIA,0.0,57
FINLAND,0.0,57
IRELAND,0.0,57
UZBEKISTAN,0.0,57
SURINAME,0.0,57
SINGAPORE,0.0,57
PERU,0.0,57
SENEGAL,0.0,57
GHANA,0.0,57
ETHIOPIA,0.0,57
TAIWAN,0.0,57
EGYPT A RP,0.0,57
GEORGIA,0.0,57
ALGERIA,0.0,57
MAURITIUS,0.0,57
KENYA,0.0,57
NORWAY,0.0,57
CHILE,0.0,57
PARAGUAY,0.0,57
CONGO P REP,0.0,57
OMAN,"",78
LATVIA,"",78
PANAMA REPUBLIC,"",78
GREECE,"",78
SWAZILAND,"",78
REUNION,"",78
CZECH REPUBLIC,"",78
PALAU,"",78
GABON,"",78
BHUTAN,"",78
GUINEA,"",78
MALI,"",78
COTE D' IVOIRE,"",78
URUGUAY,"",78
COLOMBIA,"",78
