AUSTRALIA,350.07,1
U S A,55.71,2
SRI LANKA DSR,28.81,3
GERMANY,10.27,4
MEXICO,9.07,5
KOREA RP,6.68,6
U K,5.79,7
CHINA P RP,3.36,8
FRANCE,2.75,9
CAMEROON,2.69,10
INDONESIA,2.55,11
POLAND,2.04,12
MALAYSIA,1.99,13
CANADA,1.95,14
ISRAEL,1.25,15
MYANMAR,1.09,16
MAURITIUS,1.07,17
CZECH REPUBLIC,1.06,18
THAILAND,1.06,18
U ARAB EMTS,1.03,20
SINGAPORE,0.96,21
BANGLADESH PR,0.95,22
NETHERLAND,0.94,23
IRAN,0.74,24
SWEDEN,0.68,25
ITALY,0.64,26
HONG KONG,0.63,27
SOUTH AFRICA,0.62,28
SPAIN,0.6,29
VIETNAM SOC REP,0.52,30
MOZAMBIQUE,0.38,31
QATAR,0.36,32
SAUDI ARAB,0.36,32
ARGENTINA,0.26,34
TURKEY,0.26,34
URUGUAY,0.26,34
BAHARAIN IS,0.26,34
NIGERIA,0.25,38
BRAZIL,0.19,39
GREECE,0.19,39
TAIWAN,0.18,41
PHILIPPINES,0.16,42
GHANA,0.15,43
NEPAL,0.15,43
RUSSIA,0.14,45
AUSTRIA,0.14,45
HUNGARY,0.14,45
BHUTAN,0.11,48
BENIN,0.1,49
BELGIUM,0.09,50
NEW ZEALAND,0.08,51
JAPAN,0.08,51
SENEGAL,0.07,53
NORWAY,0.07,53
ZAMBIA,0.06,55
MALDIVES,0.06,55
KENYA,0.05,57
TANZANIA REP,0.05,57
CONGO D. REP.,0.05,57
NAMIBIA,0.04,60
CHILE,0.04,60
TOGO,0.04,60
SUDAN,0.03,63
ETHIOPIA,0.03,63
REUNION,0.03,63
PERU,0.02,66
GUINEA,0.02,66
GUINEA BISSAU,0.01,68
PORTUGAL,0.01,68
SWITZERLAND,0.01,68
OMAN,0.01,68
EGYPT A RP,0.01,68
UGANDA,0.01,68
LIBERIA,0.01,68
KAZAKHSTAN,0.01,68
LITHUANIA,0.01,68
GAMBIA,0.01,68
SEYCHELLES,0.01,68
MOROCCO,0.01,68
SLOVENIA,0.01,68
COLOMBIA,0.0,81
RWANDA,0.0,81
MACEDONIA,0.0,81
DENMARK,0.0,81
GABON,0.0,81
ROMANIA,0.0,81
ZIMBABWE,0.0,81
BELARUS,0.0,81
CAMBODIA,0.0,81
HAITI,0.0,81
EL SALVADOR,0.0,81
BURKINA FASO,0.0,81
KUWAIT,0.0,81
C AFRI REP,0.0,81
CONGO P REP,0.0,81
YEMEN REPUBLC,"",96
CROATIA,"",96
UKRAINE,"",96
JORDAN,"",96
CUBA,"",96
FINLAND,"",96
LAO PD RP,"",96
MALAWI,"",96
LATVIA,"",96
AFGHANISTAN TIS,"",96
IRELAND,"",96
COTE D' IVOIRE,"",96
CYPRUS,"",96
PAKISTAN IR,"",96
SOMALIA,"",96
MALI,"",96
SURINAME,"",96
DJIBOUTI,"",96
BULGARIA,"",96
