U S A,503.72,1
GERMANY,199.91,2
U K,116.17,3
U ARAB EMTS,109.95,4
ITALY,91.71,5
FRANCE,91.65,6
BANGLADESH PR,90.43,7
NETHERLAND,88.3,8
NEPAL,86.81,9
THAILAND,85.11,10
BRAZIL,83.86,11
INDONESIA,81.1,12
PHILIPPINES,69.79,13
CHINA P RP,66.62,14
AUSTRALIA,62.55,15
CANADA,52.77,16
SPAIN,50.61,17
SAUDI ARAB,46.6,18
SOUTH AFRICA,44.0,19
MEXICO,43.99,20
POLAND,43.58,21
SRI LANKA DSR,42.15,22
EGYPT A RP,40.98,23
RUSSIA,39.4,24
BELGIUM,38.35,25
TURKEY,37.98,26
PAKISTAN IR,36.59,27
IRAN,35.96,28
IRELAND,31.94,29
KENYA,27.65,30
PORTUGAL,26.95,31
VIETNAM SOC REP,25.24,32
JAPAN,24.87,33
COLOMBIA,24.75,34
SWEDEN,24.05,35
ETHIOPIA,22.85,36
PERU,22.64,37
NIGERIA,22.49,38
ROMANIA,22.07,39
AUSTRIA,20.06,40
QATAR,18.93,41
MALAYSIA,18.93,41
UGANDA,18.85,43
LATVIA,17.65,44
KOREA RP,16.97,45
TANZANIA REP,16.77,46
FINLAND,15.93,47
SUDAN,15.53,48
CHILE,15.08,49
BHUTAN,14.04,50
SINGAPORE,13.91,51
DENMARK,13.62,52
ARGENTINA,12.18,53
KUWAIT,11.68,54
IRAQ,11.23,55
UKRAINE,11.02,56
OMAN,10.65,57
GHANA,10.59,58
SOMALIA,10.14,59
SLOVENIA,9.31,60
SLOVAK REP,9.0,61
AFGHANISTAN TIS,8.32,62
MYANMAR,7.93,63
NEW ZEALAND,7.92,64
HONDURAS,7.46,65
NORWAY,7.45,66
ZAMBIA,7.02,67
GUATEMALA,7.02,67
ECUADOR,6.91,69
ISRAEL,6.85,70
GREECE,6.73,71
HUNGARY,6.49,72
COTE D' IVOIRE,5.66,73
PANAMA REPUBLIC,5.45,74
MOZAMBIQUE,5.36,75
BOLIVIA,5.32,76
HONG KONG,5.2,77
BURKINA FASO,5.09,78
GUINEA,4.86,79
ALGERIA,4.78,80
BULGARIA,4.47,81
SWITZERLAND,4.39,82
TAIWAN,4.36,83
MOROCCO,4.34,84
MALI,4.18,85
YEMEN REPUBLC,3.95,86
BAHARAIN IS,3.85,87
CZECH REPUBLIC,3.7,88
COSTA RICA,3.41,89
HAITI,3.28,90
CAMBODIA,3.23,91
SENEGAL,2.72,92
CROATIA,2.7,93
ZIMBABWE,2.69,94
JORDAN,2.65,95
BRUNEI,2.51,96
SYRIA,2.46,97
TUNISIA,2.38,98
LITHUANIA,2.34,99
MAURITIUS,2.3,100
NICARAGUA,2.28,101
URUGUAY,1.89,102
DOMINIC REP,1.78,103
LEBANON,1.69,104
MALAWI,1.68,105
CAMEROON,1.65,106
CYPRUS,1.63,107
UZBEKISTAN,1.62,108
MADAGASCAR,1.59,109
BURUNDI,1.41,110
CONGO D. REP.,1.39,111
BOTSWANA,1.39,111
RWANDA,1.38,113
SERBIA,1.24,114
PARAGUAY,1.24,114
PUERTO RICO,1.22,116
KAZAKHSTAN,1.16,117
DJIBOUTI,1.14,118
ESTONIA,1.04,119
ANGOLA,1.02,120
VENEZUELA,1.0,121
ALBANIA,0.96,122
EL SALVADOR,0.9,123
LIBYA,0.9,123
TURKMENISTAN,0.89,125
TOGO,0.87,126
MALDIVES,0.81,127
SOUTH SUDAN,0.8,128
AZERBAIJAN,0.79,129
SEYCHELLES,0.78,130
GUYANA,0.75,131
BOSNIA-HRZGOVIN,0.69,132
FIJI IS,0.67,133
PAPUA N GNA,0.67,133
LIBERIA,0.55,135
SIERRA LEONE,0.55,135
GABON,0.53,137
MALTA,0.47,138
JAMAICA,0.47,138
NEW CALEDONIA,0.46,140
REUNION,0.42,141
GAMBIA,0.41,142
CONGO P REP,0.38,143
MACEDONIA,0.35,144
SURINAME,0.32,145
TRINIDAD,0.3,146
GEORGIA,0.3,146
CHAD,0.29,148
LUXEMBOURG,0.29,148
ARMENIA,0.27,150
BENIN,0.26,151
LAO PD RP,0.25,152
SWAZILAND,0.23,153
BELARUS,0.23,153
MONTENEGRO,0.22,155
LESOTHO,0.2,156
TAJIKISTAN,0.18,157
NIGER,0.18,157
CUBA,0.16,159
BELIZE,0.14,160
BARBADOS,0.11,161
MARTINIQUE,0.09,162
COMOROS,0.09,162
