CHINA P RP,680.83,1
NEPAL,185.48,2
BANGLADESH PR,163.6,3
U K,138.05,4
U S A,134.3,5
SRI LANKA DSR,127.62,6
SAUDI ARAB,98.82,7
U ARAB EMTS,44.82,8
KOREA RP,42.68,9
VIETNAM SOC REP,41.89,10
MALAYSIA,40.14,11
JAPAN,38.69,12
INDONESIA,32.06,13
THAILAND,29.85,14
TAIWAN,28.28,15
QATAR,26.41,16
BELGIUM,23.87,17
MALDIVES,22.58,18
KUWAIT,20.81,19
OMAN,20.41,20
ITALY,19.63,21
CANADA,19.38,22
FRANCE,15.68,23
HONG KONG,13.89,24
ALGERIA,13.29,25
GERMANY,13.17,26
POLAND,11.96,27
BHUTAN,11.44,28
AUSTRALIA,9.92,29
EGYPT A RP,9.33,30
SPAIN,7.93,31
IRAN,6.82,32
BRAZIL,6.63,33
NETHERLAND,6.42,34
SLOVENIA,5.98,35
SOUTH AFRICA,5.87,36
BAHARAIN IS,5.63,37
IRELAND,5.25,38
NORWAY,5.22,39
TURKEY,4.95,40
PAPUA N GNA,4.89,41
UKRAINE,4.61,42
ISRAEL,3.89,43
SINGAPORE,3.74,44
CROATIA,3.67,45
KENYA,3.54,46
PAKISTAN IR,3.48,47
TANZANIA REP,3.32,48
MOZAMBIQUE,2.87,49
NEW ZEALAND,2.75,50
PHILIPPINES,2.68,51
DENMARK,2.66,52
RUSSIA,2.59,53
NIGERIA,2.36,54
CAMEROON,2.15,55
MAURITIUS,2.13,56
SEYCHELLES,1.97,57
REUNION,1.87,58
COLOMBIA,1.83,59
MALAWI,1.82,60
AUSTRIA,1.76,61
SUDAN,1.55,62
ETHIOPIA,1.41,63
GHANA,1.41,63
ANGOLA,1.41,63
CONGO P REP,1.4,66
CONGO D. REP.,1.38,67
CZECH REPUBLIC,1.2,68
MADAGASCAR,1.12,69
COTE D' IVOIRE,1.05,70
MEXICO,0.98,71
LEBANON,0.85,72
BRUNEI,0.8,73
BOSNIA-HRZGOVIN,0.76,74
KOREA DP RP,0.74,75
LIBERIA,0.72,76
PORTUGAL,0.71,77
SIERRA LEONE,0.67,78
GEORGIA,0.62,79
ROMANIA,0.58,80
LIBYA,0.57,81
FINLAND,0.55,82
IRAQ,0.51,83
SWEDEN,0.49,84
ARGENTINA,0.47,85
JORDAN,0.46,86
SENEGAL,0.45,87
MOROCCO,0.45,87
YEMEN REPUBLC,0.44,89
DOMINIC REP,0.43,90
FIJI IS,0.41,91
MYANMAR,0.39,92
DJIBOUTI,0.39,92
SERBIA,0.38,94
SYRIA,0.35,95
ZAMBIA,0.34,96
SWITZERLAND,0.33,97
GREECE,0.33,97
HUNGARY,0.32,99
ZIMBABWE,0.31,100
UGANDA,0.3,101
KAZAKHSTAN,0.29,102
RWANDA,0.29,102
TOGO,0.28,104
ECUADOR,0.28,104
ALBANIA,0.28,104
LITHUANIA,0.25,107
TIMOR LESTE,0.24,108
ESTONIA,0.22,109
BENIN,0.21,110
CHILE,0.21,110
GUINEA,0.16,112
JAMAICA,0.14,113
CYPRUS,0.14,113
MALI,0.12,115
EQUTL GUINEA,0.12,115
TUNISIA,0.11,117
MONTENEGRO,0.11,117
UZBEKISTAN,0.11,117
PERU,0.1,120
SOLOMON IS,0.09,121
CAMBODIA,0.09,121
BELARUS,0.08,123
BULGARIA,0.08,123
PANAMA REPUBLIC,0.07,125
MARTINIQUE,0.07,125
TRINIDAD,0.07,125
CHAD,0.06,128
COMOROS,0.06,128
SOMALIA,0.06,128
LATVIA,0.06,128
NIGER,0.06,128
BOTSWANA,0.05,133
VANUATU REP,0.05,133
BURKINA FASO,0.05,133
GAMBIA,0.05,133
GABON,0.04,137
SAMOA,0.04,137
VENEZUELA,0.04,137
MAURITANIA,0.04,137
GUATEMALA,0.04,137
AZERBAIJAN,0.03,142
COSTA RICA,0.03,142
SLOVAK REP,0.03,142
CAPE VERDE IS,0.03,142
SURINAME,0.03,142
NEW CALEDONIA,0.02,147
AFGHANISTAN TIS,0.02,147
DOMINICA,0.02,147
MALTA,0.02,147
URUGUAY,0.02,147
NAMIBIA,0.02,147
KIRIBATI REP,0.02,147
FR POLYNESIA,0.01,154
HAITI,0.01,154
PUERTO RICO,0.01,154
SWAZILAND,0.01,154
GUADELOUPE,0.01,154
GUYANA,0.01,154
ST VINCENT,0.01,154
BAHAMAS,0.01,154
TONGA,0.01,154
BURUNDI,0.01,154
LUXEMBOURG,0.01,154
NETHERLANDANTIL,0.01,154
CUBA,0.01,154
NICARAGUA,0.0,167
MONGOLIA,0.0,167
ICELAND,0.0,167
BELIZE,0.0,167
GRENADA,0.0,167
C AFRI REP,0.0,167
FR GUIANA,0.0,167
LAO PD RP,0.0,167
PARAGUAY,0.0,167
ERITREA,0.0,167
GUINEA BISSAU,0.0,167
CAYMAN IS,0.0,167
BOLIVIA,0.0,167
BARBADOS,0.0,167
MACAO,"",181
TURKMENISTAN,"",181
KYRGHYZSTAN,"",181
MOLDOVA,"",181
ANTIGUA,"",181
PALAU,"",181
ARMENIA,"",181
MICRONESIA,"",181
HONDURAS,"",181
MACEDONIA,"",181
SAO TOME,"",181
