U ARAB EMTS,3.53,1
KOREA RP,2.83,2
U K,0.96,3
SRI LANKA DSR,0.51,4
NEPAL,0.45,5
SOUTH AFRICA,0.32,6
U S A,0.26,7
TAIWAN,0.26,7
UGANDA,0.2,9
BANGLADESH PR,0.14,10
ETHIOPIA,0.13,11
SAUDI ARAB,0.12,12
OMAN,0.09,13
HUNGARY,0.07,14
NIGERIA,0.06,15
NETHERLAND,0.05,16
SINGAPORE,0.04,17
IRAN,0.04,17
QATAR,0.03,19
SUDAN,0.02,20
TANZANIA REP,0.02,20
GERMANY,0.02,20
HONG KONG,0.02,20
VIETNAM SOC REP,0.01,24
JORDAN,0.01,24
SWEDEN,0.01,24
MALAYSIA,0.01,24
INDONESIA,0.01,24
THAILAND,0.01,24
KUWAIT,0.01,24
AUSTRALIA,0.01,24
CZECH REPUBLIC,0.0,32
ZAMBIA,0.0,32
PHILIPPINES,0.0,32
ZIMBABWE,0.0,32
SERBIA,0.0,32
KENYA,0.0,32
ITALY,0.0,32
BHUTAN,0.0,32
SOMALIA,0.0,32
SPAIN,0.0,32
CHILE,0.0,32
TOGO,0.0,32
FRANCE,0.0,32
URUGUAY,0.0,32
NEW ZEALAND,0.0,32
AUSTRIA,0.0,32
MYANMAR,0.0,32
TURKEY,0.0,32
BELGIUM,0.0,32
LIBERIA,0.0,32
ISRAEL,0.0,32
EGYPT A RP,0.0,32
IRAQ,0.0,32
MALAWI,0.0,32
JAPAN,0.0,32
GUINEA,0.0,32
SWITZERLAND,0.0,32
SENEGAL,"",59
UZBEKISTAN,"",59
MOZAMBIQUE,"",59
SLOVENIA,"",59
RUSSIA,"",59
ANGOLA,"",59
BAHARAIN IS,"",59
ECUADOR,"",59
CANADA,"",59
COLOMBIA,"",59
TUNISIA,"",59
MAURITANIA,"",59
BURUNDI,"",59
MALDIVES,"",59
ALGERIA,"",59
BRAZIL,"",59
MAURITIUS,"",59
MEXICO,"",59
GHANA,"",59
PARAGUAY,"",59
MALI,"",59
COTE D' IVOIRE,"",59
PAKISTAN IR,"",59
AZERBAIJAN,"",59
