U S A,106.8,1
U ARAB EMTS,69.35,2
U K,47.06,3
GERMANY,25.78,4
AUSTRALIA,23.32,5
POLAND,11.0,6
BELGIUM,9.54,7
FRANCE,8.95,8
NETHERLAND,8.77,9
SOUTH AFRICA,8.68,10
CANADA,7.0,11
MEXICO,6.24,12
ITALY,6.17,13
CHINA P RP,5.41,14
DENMARK,5.09,15
NEPAL,4.73,16
SWEDEN,4.48,17
NEW ZEALAND,4.04,18
SPAIN,3.51,19
IRELAND,3.18,20
MALAYSIA,3.18,20
SAUDI ARAB,3.09,22
RUSSIA,2.79,23
HUNGARY,1.94,24
SRI LANKA DSR,1.82,25
JAPAN,1.79,26
HONG KONG,1.77,27
ARGENTINA,1.75,28
BRAZIL,1.66,29
TURKEY,1.47,30
CHILE,1.38,31
SINGAPORE,1.35,32
BANGLADESH PR,1.33,33
ECUADOR,1.26,34
NORWAY,1.17,35
GREECE,1.16,36
ISRAEL,1.05,37
LIECHTENSTEIN,1.02,38
ROMANIA,0.99,39
KOREA RP,0.99,39
KENYA,0.7,41
PORTUGAL,0.7,41
QATAR,0.68,43
OMAN,0.66,44
FINLAND,0.59,45
CZECH REPUBLIC,0.55,46
SWITZERLAND,0.53,47
AUSTRIA,0.5,48
VIETNAM SOC REP,0.5,48
MALDIVES,0.45,50
THAILAND,0.44,51
KUWAIT,0.41,52
BHUTAN,0.36,53
BULGARIA,0.36,53
TRINIDAD,0.33,55
BRUNEI,0.32,56
COLOMBIA,0.3,57
CROATIA,0.29,58
YEMEN REPUBLC,0.27,59
PAKISTAN IR,0.27,59
DOMINIC REP,0.26,61
PHILIPPINES,0.25,62
MAURITIUS,0.25,62
TUNISIA,0.24,64
MOROCCO,0.21,65
SERBIA,0.2,66
LEBANON,0.2,66
NIGERIA,0.19,68
BAHARAIN IS,0.19,68
ESTONIA,0.18,70
ETHIOPIA,0.18,70
INDONESIA,0.16,72
SLOVENIA,0.15,73
LITHUANIA,0.15,73
PERU,0.14,75
FIJI IS,0.14,75
TANZANIA REP,0.14,75
PAPUA N GNA,0.13,78
JAMAICA,0.13,78
BARBADOS,0.12,80
TAIWAN,0.11,81
GHANA,0.1,82
UGANDA,0.1,82
SLOVAK REP,0.1,82
AFGHANISTAN TIS,0.09,85
UKRAINE,0.09,85
PANAMA REPUBLIC,0.09,85
GUINEA,0.09,85
URUGUAY,0.09,85
LATVIA,0.08,90
NEW CALEDONIA,0.07,91
ZAMBIA,0.07,91
JORDAN,0.07,91
ICELAND,0.06,94
CYPRUS,0.06,94
COSTA RICA,0.06,94
SEYCHELLES,0.05,97
PUERTO RICO,0.05,97
SUDAN,0.05,97
REUNION,0.04,100
SYRIA,0.04,100
EGYPT A RP,0.04,100
CONGO D. REP.,0.04,100
GEORGIA,0.04,100
GUATEMALA,0.03,105
IRAN,0.03,105
BELARUS,0.03,105
BURKINA FASO,0.03,105
ANTIGUA,0.03,105
VIRGIN IS US,0.03,105
MYANMAR,0.03,105
BOSNIA-HRZGOVIN,0.03,105
MOLDOVA,0.02,113
NETHERLANDANTIL,0.02,113
ST KITT N A,0.02,113
MALI,0.02,113
PARAGUAY,0.02,113
MOZAMBIQUE,0.02,113
MALTA,0.02,113
GUYANA,0.02,113
NAMIBIA,0.02,113
BOLIVIA,0.02,113
DJIBOUTI,0.02,113
EL SALVADOR,0.02,113
ALGERIA,0.02,113
ST LUCIA,0.02,113
ARUBA,0.01,127
MALAWI,0.01,127
FR POLYNESIA,0.01,127
ALBANIA,0.01,127
SURINAME,0.01,127
SENEGAL,0.01,127
AZERBAIJAN,0.01,127
CAMBODIA,0.01,127
ZIMBABWE,0.01,127
SOMALIA,0.01,127
MONGOLIA,0.01,127
GAMBIA,0.01,127
BELIZE,0.01,127
ARMENIA,0.01,127
BENIN,0.01,127
NIGER,0.01,127
VENEZUELA,0.01,127
CAMEROON,0.01,127
MADAGASCAR,0.01,127
SAN MARINO,0.01,127
MARTINIQUE,0.01,127
BOTSWANA,0.0,148
CONGO P REP,0.0,148
SOLOMON IS,0.0,148
N. MARIANA IS.,0.0,148
GRENADA,0.0,148
TOGO,0.0,148
BURUNDI,0.0,148
IRAQ,0.0,148
NICARAGUA,0.0,148
HONDURAS,0.0,148
SOUTH SUDAN,0.0,148
KOREA DP RP,0.0,148
COMOROS,0.0,148
TIMOR LESTE,0.0,148
DOMINICA,0.0,148
HAITI,0.0,148
UZBEKISTAN,0.0,148
MAURITANIA,0.0,148
COTE D' IVOIRE,0.0,148
TAJIKISTAN,0.0,148
MACEDONIA,0.0,148
RWANDA,0.0,148
ANGOLA,0.0,148
CAYMAN IS,0.0,148
SIERRA LEONE,0.0,148
KAZAKHSTAN,0.0,148
FR GUIANA,0.0,148
GABON,0.0,148
ST VINCENT,0.0,148
CHAD,0.0,148
GUADELOUPE,0.0,148
BERMUDA,0.0,148
LIBERIA,0.0,148
BAHAMAS,"",181
GIBRALTAR,"",181
SAMOA,"",181
LIBYA,"",181
TURKMENISTAN,"",181
BR VIRGN IS,"",181
CUBA,"",181
VANUATU REP,"",181
TONGA,"",181
MICRONESIA,"",181
SAO TOME,"",181
GUINEA BISSAU,"",181
MACAO,"",181
GUAM,"",181
MONTSERRAT,"",181
WALLIS F IS,"",181
KYRGHYZSTAN,"",181
LAO PD RP,"",181
EQUTL GUINEA,"",181
MONTENEGRO,"",181
PALAU,"",181
C AFRI REP,"",181
UNSPECIFIED,"",181
