ITALY,35.08,1
U K,34.91,2
JAPAN,29.43,3
KOREA RP,24.46,4
CHINA P RP,13.44,5
INDONESIA,6.11,6
ISRAEL,4.94,7
U S A,4.06,8
HONG KONG,3.6,9
GERMANY,3.29,10
POLAND,2.84,11
SRI LANKA DSR,2.74,12
LITHUANIA,2.68,13
BANGLADESH PR,2.57,14
NEPAL,2.4,15
CAMBODIA,2.21,16
EGYPT A RP,2.12,17
PORTUGAL,1.65,18
VIETNAM SOC REP,1.5,19
AUSTRALIA,1.32,20
CHILE,1.29,21
TUNISIA,1.13,22
NEW ZEALAND,1.11,23
U ARAB EMTS,1.09,24
CANADA,1.07,25
ETHIOPIA,0.95,26
TURKEY,0.88,27
CZECH REPUBLIC,0.84,28
MALAYSIA,0.79,29
SPAIN,0.79,29
SOUTH AFRICA,0.62,31
TAIWAN,0.53,32
THAILAND,0.53,32
MEXICO,0.51,34
PAKISTAN IR,0.42,35
LEBANON,0.39,36
KUWAIT,0.39,36
BHUTAN,0.31,38
BELGIUM,0.3,39
MYANMAR,0.3,39
SAUDI ARAB,0.28,41
DJIBOUTI,0.27,42
URUGUAY,0.25,43
SYRIA,0.25,43
SINGAPORE,0.25,43
FRANCE,0.2,46
OMAN,0.19,47
QATAR,0.19,47
JORDAN,0.13,49
COLOMBIA,0.12,50
SWEDEN,0.12,50
RUSSIA,0.12,50
NETHERLAND,0.09,53
KOREA DP RP,0.09,53
DENMARK,0.08,55
SLOVAK REP,0.06,56
NIGERIA,0.06,56
KENYA,0.05,58
AUSTRIA,0.05,58
LIBYA,0.05,58
FIJI IS,0.03,61
BAHARAIN IS,0.03,61
GUATEMALA,0.03,61
HUNGARY,0.02,64
MAURITIUS,0.02,64
SIERRA LEONE,0.01,66
YEMEN REPUBLC,0.01,66
GREECE,0.01,66
IRELAND,0.01,66
ROMANIA,0.01,66
SWITZERLAND,0.01,66
GEORGIA,0.0,72
SURINAME,0.0,72
TANZANIA REP,0.0,72
UKRAINE,0.0,72
LATVIA,0.0,72
MALAWI,0.0,72
UGANDA,0.0,72
MALDIVES,0.0,72
BRAZIL,0.0,72
MOROCCO,0.0,72
GHANA,0.0,72
MONGOLIA,"",83
PERU,"",83
PUERTO RICO,"",83
LAO PD RP,"",83
IRAQ,"",83
PHILIPPINES,"",83
SEYCHELLES,"",83
CONGO P REP,"",83
TRINIDAD,"",83
ARGENTINA,"",83
BULGARIA,"",83
NORWAY,"",83
IRAN,"",83
